15839601
/m/03nwzqt
/m/03nwzqt
René Goscinny


1880 1
able 1
aficionado 1
along 1
and 4
assistance 1
begin 1
begins 1
benefit 1
between 1
brother 1
but 1
clearly 1
cole 1
define 1
detectives 1
emulate 1
en 1
for 1
forcing 1
frank 1
he 4
help 2
his 2
hood 1
idolizes 1
in 1
inept 1
is 3
james 1
jesse 1
line 1
lucky 1
luke 1
masse 1
move 1
not 1
of 2
out 1
own 1
pinkerton 1
poor 2
redefines 1
rich 1
rob 1
robbing 1
robin 1
shakespeare 1
simply 1
somehow 1
somewhat 1
stop 1
story 1
supposed 2
term 1
the 8
them 1
therefore 1
to 5
trains 1
tries 1
two 2
who 1
with 4
younger 1
