9173457
/m/027_4kz
/m/027_4kz
Judith Kerr
1971
{"/m/0dwly": "Children's literature"}
133 1
136 1
a 14
able 1
about 2
accommodation 1
afraid 1
after 3
again 1
alarming 1
also 1
an 1
and 18
anna 9
apartment 1
are 2
as 4
at 1
attends 1
author 1
back 6
bbc 1
be 3
because 1
behind 1
being 1
believing 2
berlin 3
biographical 1
boarding 1
bought 1
boys 1
brother 1
but 3
buy 1
buyer 1
by 3
character 1
children 2
choose 1
clicks 1
coins 1
collect 1
come 2
comes 2
considers 1
correct 1
could 1
cousin 1
day 1
decide 1
derived 1
discover 1
dog 1
dropped 1
elections 2
elementary 1
ends 1
england 1
family 3
father 1
few 1
film 1
finally 1
find 2
finds 4
fled 1
fluently 1
for 4
fortunately 1
french 1
from 1
germany 1
get 2
goes 3
greeted 1
had 1
hard 1
has 2
have 2
he 4
head 2
her 7
herself 1
him 3
his 2
hitler 3
home 1
house 1
however 1
if 2
important 1
imprisoned 1
in 11
inspired 1
into 2
is 9
it 7
jewish 2
join 1
just 1
label 1
leave 1
left 1
little 2
london 1
long 1
lose 1
main 1
mama 7
manage 1
march 1
marks 1
max 6
means 2
might 2
missing 1
months 1
morning 1
move 2
napoleon 1
nazis 3
new 1
nineyearold 1
notices 1
of 1
off 1
on 6
one 5
onto 1
opts 1
otto 1
out 3
own 1
papa 10
paris 4
pink 1
plan 1
porter 1
prague 1
price 1
prospective 1
put 3
rabbit 1
really 2
return 1
room 1
rushed 1
scares 1
school 2
script 1
secrecy 1
send 1
settle 2
she 8
short 1
should 1
so 2
soon 2
speak 1
starts 1
stay 1
stays 1
stolen 1
story 2
suffocating 1
swiss 1
switzerland 2
take 2
takes 1
talk 1
tells 1
that 10
the 22
their 1
them 3
then 1
there 4
they 4
thinks 3
this 6
though 1
thousand 2
time 5
title 1
to 21
toy 3
train 3
travels 1
tries 1
trilogy 1
two 1
until 1
wants 1
was 2
wellknown 1
what 1
when 2
which 1
while 2
will 2
win 2
wishes 1
with 4
woolly 1
would 3
wrong 2
years 1
