5926782
/m/0fdxnb
/m/0fdxnb
Richard Price
1998-06-01
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 20
abandoned 2
about 2
accident 1
after 3
against 1
agenda 1
air 1
all 1
alone 1
an 5
and 24
another 1
any 1
are 2
area 1
armstrong 2
arrest 1
arrested 1
arrives 1
as 5
asking 1
assailant 1
asthma 1
at 3
attack 1
away 1
back 2
backseat 1
bandage 1
be 2
been 1
before 1
beginning 1
being 1
ben 1
benadryl 1
billy 2
black 1
blockade 2
body 1
both 1
boyfriend 1
breaks 1
brenda 11
brendas 2
brings 1
building 1
bump 1
buried 1
but 1
by 1
called 1
came 1
car 1
carjacking 2
carjackingkidnapping 1
case 1
causing 1
chance 2
chicago 1
child 1
children 1
childs 1
cities 1
classic 1
cleaned 1
close 1
cody 7
collucci 1
comes 1
confesses 1
contacts 1
council 1
crime 1
crying 1
day 1
days 1
dead 1
deadline 1
demonstrate 1
dempsey 3
describes 1
details 2
detective 1
dies 1
discovers 1
do 1
doctors 1
downstairs 1
during 2
earlier 1
elaine 1
elevator 1
elicit 1
emergency 1
emotionally 1
end 2
ends 2
escort 1
exhausted 1
exhibit 1
express 1
eyes 1
false 1
far 1
fbi 1
feeling 1
feels 1
fight 1
figure 1
finally 1
find 1
fire 1
first 1
followed 1
follows 1
foot 1
for 5
found 2
fouryearold 1
freedomtown 2
friends 2
from 5
front 1
funeral 1
gannon 2
george 1
get 1
gets 2
getting 1
gone 3
ground 1
group 1
had 2
half 1
hands 2
happened 1
has 2
haus 2
have 1
he 2
head 1
hears 1
her 11
hidden 1
higher 1
him 3
his 2
hopes 1
hoping 1
hospital 4
howard 1
in 10
information 4
injuries 1
inside 1
into 4
is 9
it 2
jams 1
jesse 5
karen 1
kent 2
kidnapping 1
killed 1
knowing 1
last 1
leaders 1
learn 1
leaving 1
likely 1
local 2
lorenzo 7
lose 1
love 1
makes 1
man 2
march 3
martin 1
meet 1
meets 1
mental 1
minor 1
missing 1
more 1
most 1
music 1
near 1
news 1
next 3
night 1
no 1
not 2
novel 1
occurred 1
of 14
on 4
one 1
only 2
opens 1
or 2
organization 1
organize 1
out 3
outrage 1
outraged 1
over 1
overdose 1
overgrown 1
panicked 1
park 1
party 1
passions 1
per 1
place 1
plan 1
police 2
promising 1
protest 1
pushes 1
railroad 1
ran 1
rb 1
received 1
relatively 1
reporter 1
request 1
resident 1
residents 3
result 1
returned 1
riot 1
room 1
rosens 1
saga 1
same 1
scary 1
search 3
searches 1
seems 1
shaved 1
she 9
shock 1
sitting 1
so 1
solve 1
son 2
soon 1
speak 1
spot 1
starts 1
state 1
stay 1
sticks 1
story 6
subsides 1
suicide 1
takes 1
tears 1
that 5
the 40
theme 1
then 3
there 1
they 4
thinking 1
this 2
through 1
to 22
told 1
too 1
took 1
treatment 1
turn 1
under 1
understanding 1
unfair 2
until 1
up 5
victim 1
walks 1
was 3
way 1
went 1
what 1
when 3
where 3
while 1
will 1
with 5
works 2
would 1
write 1
written 1
years 1
young 1
