33222225
/m/098_ht
/m/098_ht
Rebecca West
1918
a 11
abandoned 1
about 1
acknowledges 1
after 4
age 1
aged 1
almost 1
and 18
anderson 3
another 1
are 2
arrives 3
as 1
asks 1
at 3
back 1
baldry 3
be 2
bear 1
becomes 1
been 2
before 2
begins 1
between 2
beyond 1
bring 1
british 1
but 2
by 3
cannot 1
care 1
caused 1
child 2
chris 20
clothing 1
completely 1
confront 1
confronts 1
consult 1
continues 1
conversation 1
convinces 1
could 1
course 1
cousin 2
daughter 1
dead 2
decide 1
decides 1
deny 1
departs 1
departure 1
describes 1
despair 1
difference 1
dilapidated 1
disheveled 1
dismisses 1
domestic 1
dr 3
drab 1
during 1
ends 1
estate 5
even 1
exception 1
excited 1
explain 1
explains 1
fact 1
falls 1
feeling 1
fifteen 3
fighting 1
finally 1
find 2
finding 1
first 1
fit 2
fling 1
for 2
france 1
from 2
gilbert 1
grey 1
had 3
has 1
have 3
he 5
help 3
her 9
him 1
himself 1
his 6
home 2
horrors 1
how 1
husband 2
i 1
in 8
information 1
injury 1
innkeeper 1
intellectually 1
is 7
island 3
jealousy 1
jenny 9
just 1
kitty 10
laments 1
london 2
loss 1
love 2
management 1
margaret 17
marriage 1
married 1
meet 1
memories 1
memory 3
middleaged 1
monkey 2
more 1
must 1
narrator 1
news 1
not 1
notification 1
notifies 1
novel 1
now 1
nursery 2
obsessing 1
occupied 1
of 18
office 1
old 1
on 3
one 1
only 1
order 1
outside 1
over 1
passage 1
passed 1
past 1
pines 1
pining 1
proof 1
psychoanalyst 1
questions 1
raised 1
rash 1
real 1
reality 1
recipient 1
recognizes 1
regains 1
rejoices 1
remembered 1
removed 1
retrieve 1
retrieves 1
return 4
returning 1
returns 1
romantic 1
rowhouse 1
sent 1
she 2
shellshocked 1
shock 1
soldier 2
some 1
son 1
soon 2
state 1
still 2
story 2
strange 1
such 1
summer 4
surprised 1
taking 1
tells 3
that 5
the 31
their 1
them 1
they 1
thinking 1
this 2
time 1
to 22
toys 1
travels 1
treatment 1
true 1
truth 1
trying 2
twenty 2
two 3
understand 2
upon 1
visit 1
visited 1
visits 1
war 2
what 2
when 1
where 2
which 1
while 1
whom 1
wishing 1
with 9
woman 1
women 4
world 2
would 1
years 4
