8767825
/m/027j00w
/m/027j00w
James Rollins
2006
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
145 1
a 6
affects 1
after 1
all 2
although 1
and 3
antigravity 1
appear 1
are 1
around 2
as 1
attributing 1
authors 1
begins 1
belief 1
bell 5
black 2
book 2
books 1
breslau 1
but 2
by 3
cite 1
claims 1
control 1
cook 2
core 1
development 1
device 2
directly 1
does 1
einstein 1
energy 1
entity 1
everyone 1
evolution 2
farrell 1
featured 1
for 2
force 1
foreword 1
formed 1
from 1
generator 1
get 1
ghost 1
greatest 1
heart 1
heavily 2
heisenberg 1
himalayas 1
his 2
historical 1
human 1
humankind 1
hunt 1
idea 2
igor 1
illness 1
in 8
incorrectly 1
influenced 1
inspired 1
interpret 1
is 4
it 1
itself 1
known 1
legend 1
life 1
lights 1
line 1
lives 1
machine 1
measuring 1
mechanics 1
members 1
much 1
mysteries 1
mysterious 1
nazi 3
nick 1
nonfiction 1
not 1
note 1
novel 3
of 10
one 1
opening 1
or 1
order 2
origins 1
plot 2
point 1
polish 1
project 1
prominently 1
proximity 1
psyche 1
quantum 1
real 2
reality 1
reasons 1
record 1
researcher 1
revolve 1
revolves 1
risk 1
rollins 5
said 1
sections 1
sigma 1
soon 1
states 1
story 2
strange 1
sure 1
team 1
tends 1
that 4
the 27
their 1
theory 1
three 1
to 6
true 1
warfare 1
was 4
weapons 1
when 1
while 1
witkowski 2
zero 1
zeropoint 2
