31438273
/m/0gk_qkf
/m/0gk_qkf
Sue Grafton
2011-11-21
{"/m/02n4kr": "Mystery"}
a 23
abbey 1
about 4
accomplice 1
account 1
affair 1
after 8
again 1
agrees 1
airport 1
alerts 1
all 1
almost 1
also 2
alternates 1
an 7
and 36
anyone 1
apart 1
apparently 1
are 5
around 1
arrest 1
arrives 1
as 2
asks 1
at 3
audrey 6
authorities 3
away 1
back 4
bad 2
bags 1
be 1
because 2
becomes 1
been 4
before 1
began 1
begins 1
being 1
believed 1
believes 1
belongs 1
between 2
blackmail 1
borrows 1
box 1
boyfriend 2
brother 3
bumper 1
burn 1
bury 1
but 5
by 9
california 1
calls 1
can 3
cappi 15
capture 1
car 2
care 3
cash 1
causes 1
chapter 1
characters 1
charity 1
cheney 2
clerk 1
client 1
closet 1
closing 1
comes 4
comment 1
commits 1
completely 1
computer 1
confederate 2
confesses 1
confidential 1
consent 1
contacting 1
control 1
conversation 2
convince 1
cop 1
copy 1
could 2
country 1
couple 1
course 1
dante 23
date 1
dating 1
day 1
days 1
death 3
debt 1
decides 1
department 1
departs 1
details 1
dies 1
disappears 1
discovers 1
distribution 1
do 2
doing 1
done 1
down 2
drifting 1
drop 2
encounters 1
endangering 1
enemy 1
enraged 1
envelope 1
escape 1
evening 1
eventually 1
everyone 2
exact 1
expensive 1
explains 1
face 2
fair 1
fake 1
far 1
fascinated 1
federal 1
feeding 1
feels 1
find 2
findings 1
fireplace 1
fires 1
first 3
flash 1
flee 1
flees 1
follows 2
footage 1
for 16
former 1
fourth 1
friend 2
from 13
full 1
further 3
gain 1
garage 2
gate 1
gave 1
get 1
gets 1
getting 2
girlfriend 1
give 1
gives 1
giving 1
go 2
goes 2
going 2
good 1
goods 1
gunshot 1
had 2
hand 1
harming 1
has 5
have 2
having 2
he 15
head 1
her 28
hers 1
herself 1
him 11
hires 1
his 21
hold 1
holding 1
home 2
honor 1
hoping 1
hospital 2
hostage 1
house 1
however 2
husband 3
implicate 1
in 17
informant 1
information 4
inside 1
inspiration 1
into 7
investigate 1
investigates 1
investigating 1
is 22
it 4
itching 1
jail 2
job 1
join 2
just 1
keep 2
killing 1
kinsey 15
knows 2
lanahan 1
last 1
later 4
lawyer 1
layers 1
lays 1
leads 1
learn 1
learns 1
leave 1
leaves 3
leg 1
len 1
life 1
loaning 1
lock 1
longtime 1
look 1
looking 1
lorenzo 1
loses 1
lt 1
main 1
make 1
makes 1
man 2
manages 1
marriage 1
material 1
maze 1
meanwhile 1
might 1
milhone 7
minutes 1
miss 1
misses 2
mocks 1
money 3
monster 1
more 1
motion 1
motivation 1
muchyounger 1
murdered 2
named 1
nearby 1
negatives 1
never 1
nora 5
nordstrom 2
not 1
notices 2
novel 1
of 24
off 5
offers 1
offhanded 1
office 4
officer 1
old 1
on 6
opening 1
operation 3
operations 1
opposite 1
orders 1
other 1
out 3
over 2
parking 2
part 1
payback 1
payment 1
peels 1
person 1
perspective 1
peter 2
phillip 4
phillips 1
photos 4
physically 1
picked 2
picks 1
pinkey 14
place 1
plan 1
plane 1
playing 1
poker 1
police 2
porsche 1
possessions 1
priddy 7
principally 1
prison 1
proper 1
proves 1
providing 1
pulled 1
punches 1
punching 1
put 1
puts 1
raid 2
real 1
realizes 1
recorded 1
records 1
referred 1
refuses 1
release 2
reporter 1
represents 1
returns 2
right 2
ring 4
rounds 1
run 1
runs 1
s 1
satisfaction 1
scene 2
second 1
secretary 3
security 1
see 1
seem 1
sell 2
sending 1
sends 1
series 1
set 2
sets 1
several 1
she 18
shooter 1
shoots 1
shoplifting 4
shortly 1
shot 4
shotgun 1
show 1
silence 1
slowly 2
smitten 1
so 2
some 1
son 2
southern 1
staging 1
sticker 1
still 1
stolen 1
store 1
stores 1
story 1
storyline 1
straight 2
street 1
sudden 1
suicide 1
syndicate 1
take 3
taken 1
takes 1
talking 1
taxiing 1
tells 2
than 1
that 22
the 69
their 1
them 2
then 2
theory 2
thereafter 1
they 3
thing 1
thinks 1
this 2
those 1
threatens 1
three 1
throw 1
thugs 1
thus 1
to 49
told 2
top 1
track 1
tracks 2
trailing 1
tries 1
trip 1
truck 1
trying 2
tunnels 1
turn 1
under 1
up 7
upon 1
using 1
value 1
various 1
vegas 1
vice 1
video 1
view 1
viewpoint 1
vogelsang 1
wants 1
warehouse 4
wary 1
was 7
we 1
weeks 1
welltodo 1
what 1
when 2
where 1
which 1
while 1
who 8
whom 3
wife 4
will 1
wiped 1
with 8
without 2
witnesses 1
woman 2
world 1
wound 1
wounded 1
years 1
young 1
