521188
/m/02l1pb
/m/02l1pb
Cory Doctorow
2003-02-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 10
accident 1
adhoc 3
affection 1
against 1
age 1
all 1
also 1
an 1
and 13
animatronic 1
are 1
arranged 1
as 2
asked 1
at 2
attempt 1
attractions 1
back 1
backup 2
bashes 1
be 1
because 1
before 2
being 1
believe 2
believes 1
book 1
both 1
bottom 3
buddy 1
but 3
by 6
called 1
can 1
caught 1
colleagues 1
college 1
collusion 1
coma 1
comes 1
committee 2
control 1
converts 1
could 1
country 1
cracks 1
cranial 1
damaged 1
damaging 1
dan 10
days 2
deadhead 1
death 1
debra 5
decides 1
develops 1
die 1
dirty 1
distraction 1
do 1
document 1
doesnt 1
doing 1
dont 1
dreams 1
dust 1
elevators 1
endangering 1
enough 3
entire 1
erase 1
events 1
eventually 2
exchange 1
experience 1
fact 1
fans 1
favorite 1
fearing 1
few 1
finally 1
first 1
for 5
friendly 1
from 2
gets 1
girl 1
girlfriend 1
give 1
gives 1
ground 1
group 1
had 5
hall 3
happenings 1
has 2
haunted 2
have 1
he 11
heat 1
her 2
herself 1
him 3
himself 2
his 17
hit 1
hits 1
honestly 1
imprinting 1
impunity 1
in 12
incarnation 1
injection 2
interface 2
interim 1
into 1
invitation 1
involved 1
ironically 1
is 8
it 1
its 1
julius 11
kicked 1
kill 1
killed 2
kingdom 1
last 1
leaves 2
lethal 2
level 1
liberty 1
life 1
lil 5
lives 1
longer 1
lost 1
low 1
made 1
magic 1
makes 1
mansion 3
manually 1
measured 1
memories 1
memory 1
missionary 1
moment 1
most 1
moves 1
murdered 1
murderer 1
never 1
next 1
no 1
not 2
of 14
old 1
oldfashioned 1
one 2
oneself 1
or 1
order 1
others 1
out 2
over 1
oversees 1
own 1
park 2
partial 1
people 1
person 1
plan 1
planned 1
planning 1
point 1
popular 1
possessions 1
president 1
presidents 2
previous 1
process 1
public 1
pushes 1
putting 1
rebuild 1
record 1
recruited 1
refreshed 1
rejuvenation 1
relationship 1
replace 1
resolves 1
restored 2
restores 1
revamp 1
reveals 1
revelation 1
ride 1
rival 1
robots 1
rock 3
same 1
sees 1
seize 1
she 2
so 3
soon 1
square 1
stand 1
stop 1
story 1
suicide 1
sweet 1
sympathy 2
synthetic 1
take 4
taken 1
team 1
that 12
the 33
then 2
they 2
this 5
thrown 1
till 1
time 1
to 16
told 1
transpiring 1
try 1
turned 1
universe 1
up 3
used 1
virtualization 1
voluntary 1
wakes 1
was 1
wasnt 1
when 3
while 2
who 2
whose 1
whuffie 7
will 2
wishes 1
with 8
work 2
working 1
would 2
year 2
young 2
