6530718
/m/0g93jz
/m/0g93jz
Elizabeth Moon
1997
{"/m/070yc": "Space opera", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/01smf2": "Military science fiction"}
25 1
a 20
aboard 1
about 1
abused 1
across 1
actions 1
adhesive 1
after 4
against 2
agreed 1
alive 1
all 3
allowed 1
although 2
altiplano 3
ambush 1
ambushers 1
ambushing 1
an 6
and 43
anxieties 1
any 2
anything 1
apparently 1
architecture 1
are 5
arm 1
armed 1
arms 1
around 1
arranging 1
as 6
ascertain 1
assault 2
assembling 1
assigned 2
assignment 1
assumed 1
assuming 1
at 1
attack 4
award 1
back 1
barbarian 1
barin 5
battle 2
bay 2
bays 1
because 1
becomes 1
been 6
before 3
begin 1
begins 3
being 1
benefit 1
blind 1
blinding 1
bloodhorde 16
board 1
boarded 1
boarding 2
body 1
break 1
bridge 3
broken 1
brought 1
but 5
by 13
cabin 1
came 1
capability 1
captain 3
capture 1
care 1
carry 1
catching 1
changeover 1
checked 1
child 1
chronologically 1
circle 1
civilian 2
coincidence 1
colors 3
command 3
commandeered 1
commanders 1
commandos 7
complete 1
conclude 1
concluded 1
connected 1
construction 1
contact 1
containing 1
continue 1
contract 1
contractors 2
control 1
convince 2
convinced 1
core 3
courtmartial 1
covertly 1
coverup 1
crew 6
crippling 1
cutting 1
damage 1
danger 1
day 1
debark 1
decide 2
decisive 1
deep 1
defeating 1
deflected 1
demand 1
design 1
despite 1
destroy 1
destroyed 1
detaching 1
determine 1
detonate 1
directly 1
disable 1
disabled 1
disabling 1
disarmed 1
discomfited 1
discovered 2
discovers 1
discuss 1
dislike 1
disposed 1
distinctly 1
dna 1
do 1
dock 1
don 1
doors 1
drama 2
drastically 1
drive 1
dsr 2
during 4
earnest 1
easily 2
easy 1
effect 1
effective 1
either 1
elaborate 1
elated 1
eliminate 1
enabling 1
ensign 1
errands 1
escape 1
escorts 1
esmay 3
especially 2
eva 3
even 1
eventually 2
everybody 1
everything 1
excursions 1
expected 1
extension 1
extent 1
extremely 1
facilities 1
failed 1
familias 1
family 2
father 6
felt 1
feted 1
few 1
fighting 1
find 1
first 2
fix 1
fleet 3
focus 1
follows 1
followup 1
for 10
forward 2
four 1
fragments 1
free 1
fresh 1
friend 2
friends 1
from 4
ftl 2
full 1
further 1
gas 1
go 2
goes 1
going 1
gone 1
grace 1
greatly 1
greedy 1
group 1
guard 1
guilty 1
had 10
handdelivering 1
has 2
have 4
he 3
help 1
her 16
heris 1
hero 2
heroism 1
higherups 1
highest 2
him 1
his 1
home 1
honored 1
horses 1
hospital 1
hostage 1
hours 1
how 2
however 1
hull 1
hulls 1
hyperspace 1
identification 1
ids 1
illness 1
illprepared 1
imagination 1
immediately 3
immobilizing 1
improve 1
in 11
incapable 1
incapacitate 1
increasing 1
industrial 1
inevitably 1
infeasible 1
infrastructure 1
injured 2
inquiries 1
inquiry 1
instead 1
intended 1
interacts 1
intervening 1
intimate 1
into 4
intruders 2
is 20
issued 1
it 11
its 7
job 2
jumped 1
jumps 1
kidnaps 1
kill 1
killing 1
knew 1
knocked 1
know 1
known 1
kos 14
koskiuskos 1
last 1
launches 1
lead 2
leadership 1
leading 1
learning 1
learns 1
led 1
less 1
life 1
like 1
link 1
location 2
locked 1
lockers 1
luck 1
lures 1
made 1
major 2
make 1
making 1
manner 1
massive 2
massively 1
meant 1
meanwhile 1
meat 1
mechanism 1
meet 1
meeting 1
member 1
members 1
memories 1
mendacious 1
merely 1
message 1
military 2
mind 2
mine 4
missiles 1
molested 1
monitors 1
months 1
more 1
most 4
much 1
mutiny 1
near 1
needs 1
neighborhood 1
neither 1
next 1
nightmares 3
no 1
nor 1
normal 1
not 3
of 37
off 2
officers 1
official 1
old 1
on 6
once 1
one 7
open 1
or 2
orders 1
other 1
out 6
overcome 1
overlapping 1
painting 1
partially 1
pass 1
patrol 1
pave 1
personnel 2
phobia 1
pictures 1
pitak 3
plan 2
planted 1
poison 1
politically 1
power 1
praised 1
precipitates 1
preoccupied 1
prepared 1
presence 1
productively 1
profitably 1
programmed 1
prominence 1
prong 2
protect 1
psychiatric 1
psychological 1
pulling 1
ragged 1
real 1
really 1
recognize 1
records 1
regain 1
reinforcements 1
rekey 1
relax 1
remaining 1
remains 1
remarkable 1
remarkably 1
reminiscent 1
reopen 1
repair 5
repairable 1
repairs 1
resistance 3
resupply 1
retake 1
returned 1
revelation 1
risks 1
risky 1
robots 1
routes 1
running 1
safe 1
safely 1
same 1
saved 1
scattered 1
scrutiny 1
second 1
section 2
security 2
seeking 2
seen 1
selfdestruct 3
senior 2
sent 1
sequences 1
serrano 5
served 1
settles 1
sexual 1
she 10
shifts 1
ship 1
ships 1
short 1
should 1
since 2
sleepinggas 1
slowly 1
so 5
soldier 1
some 3
sordid 1
sortie 1
space 3
