15438211
/m/03m94x3
/m/03m94x3
Martin Dugard
2005-06-01
11 1
110 1
142 2
3 1
a 2
after 3
all 1
americas 1
and 2
area 1
as 5
august 1
back 1
be 1
became 1
before 1
book 2
books 1
canary 1
christopher 1
claiming 2
columbus 6
confirmed 1
cope 1
crew 1
days 1
departure 1
despite 1
distant 1
europe 1
european 1
expenses 1
faced 1
fellow 1
first 2
fleet 2
focuses 1
follows 1
for 5
founders 1
from 2
given 1
had 1
he 2
his 5
ignored 1
in 2
islands 2
it 1
journeys 1
land 1
later 1
life 1
light 1
loose 1
maravedis 1
marked 1
members 1
month 1
most 1
new 1
numerous 1
october 1
of 8
on 5
one 1
other 1
pay 1
pinta 1
pleas 1
powerful 1
prior 1
problems 1
profits 1
repairing 1
resumed 1
reward 1
royal 1
rudder 1
sailing 2
seas 1
seduced 1
seeing 1
ship 1
some 1
soon 1
sovereigns 1
spain 2
spanish 2
stayed 1
story 1
strength 1
sunrise 1
tells 1
ten 1
the 20
this 2
thousand 1
three 1
to 5
topic 1
trip 1
turn 1
unable 1
voyage 1
was 4
well 2
which 2
who 1
with 2
woman 1
world 1
would 1
