18823362
/m/04mz4rg
/m/04mz4rg
Robert Silverberg
1968-05
18 1
2 2
38 1
a 12
actually 1
after 1
ago 1
aires 2
alien 1
all 4
allow 1
amounts 2
an 4
and 13
apocalypse 1
arizona 2
arrest 1
arrives 1
asks 1
at 1
attends 1
automated 1
bear 1
because 1
been 2
before 1
began 1
believes 1
best 1
blond 1
body 1
break 2
brothel 1
bryant 1
buenos 2
but 2
by 4
california 2
call 1
capitalism 1
century 1
change 1
chicago 1
christmas 1
citizens 1
city 1
clothes 1
come 1
comes 1
conference 1
could 1
crowd 1
crowds 1
day 1
days 1
deal 1
departed 1
department 1
deserts 1
determined 1
different 1
discovered 1
down 1
dramatically 1
due 1
during 3
earth 5
energy 4
enormous 1
even 1
eventually 1
exchange 1
extract 2
fact 2
fails 1
finished 1
first 1
floats 1
for 2
forced 1
forms 1
friends 1
from 6
future 3
garbage 1
garfield 3
get 1
gets 1
given 1
goes 1
government 1
grabbed 1
graduate 1
group 2
had 1
has 4
have 3
he 17
helped 1
her 1
herself 1
him 3
his 6
horst 1
house 2
how 3
huge 1
human 1
if 1
in 10
influence 1
instead 1
interact 1
interest 1
interview 1
into 1
is 8
it 2
jack 8
jettisoned 1
join 1
klein 1
knocks 1
landed 1
landing 1
leaves 1
left 2
leo 5
life 3
load 1
long 1
made 1
market 1
married 1
matter 3
meets 1
mentions 1
messiah 1
mission 1
money 1
months 1
moon 1
move 1
naked 1
named 1
need 1
never 1
new 2
no 5
not 1
obtain 1
of 11
offers 1
on 7
one 1
ordinary 1
outrageous 1
over 1
particles 1
party 1
people 1
personal 1
physics 2
police 1
press 1
pretty 1
process 1
public 1
question 1
recovered 1
release 1
remains 1
requests 1
returns 2
reveals 1
rome 1
says 1
scientists 2
scouting 1
seduces 1
see 1
several 1
shield 2
shirley 5
should 1
showing 1
shows 1
since 1
sky 1
sleeps 1
so 2
society 2
spacecraft 1
spanish 1
spends 1
started 1
staying 1
steps 1
stock 2
student 1
subject 1
subtly 1
takes 1
tapped 1
technology 1
tells 2
that 12
the 33
their 1
them 1
then 1
theory 2
there 1
thesis 1
they 6
this 1
to 20
touch 1
tour 2
tours 1
toward 1
try 1
turn 1
under 1
university 3
until 1
us 1
use 1
used 1
using 1
very 1
visit 1
visited 1
visiting 1
visits 1
vornan 6
vornan1 7
wanting 1
was 2
when 2
where 1
white 1
who 2
will 1
with 7
within 2
work 2
working 2
would 1
year 1
years 1
york 2
