1768189
/m/05vf6w
/m/05vf6w
Amélie Nothomb
1999
11 1
12 1
13 1
a 14
about 1
abused 1
accompanied 1
accomplishes 1
accounts 1
achieve 2
actual 1
actually 2
admiration 1
advised 1
after 2
again 1
against 1
all 1
although 2
amlie 21
and 20
animosity 1
another 1
any 2
apologise 2
apparently 2
appearing 1
approached 1
are 3
arrival 1
as 11
ashamed 1
asked 1
asks 4
assigned 3
at 7
author 1
batch 1
bathroom 2
be 4
been 1
beginning 1
being 2
belgian 1
belgium 3
between 2
big 1
biggest 1
boredom 1
both 1
bottom 1
breakpoint 1
brief 1
but 4
butter 1
by 9
can 2
carrier 1
characters 1
choses 1
cleaner 1
club 1
colleagues 1
company 8
concepts 1
confront 1
congratulations 1
consolation 1
console 1
constitutes 1
contacts 1
continues 1
contract 3
copies 3
copy 1
copying 1
corporate 1
could 1
couple 1
cultures 1
dairy 1
day 1
de 1
decides 3
deliberately 1
deliver 1
department 4
departmental 1
descend 1
describe 1
developed 1
dialogue 1
difference 1
differences 1
different 1
directly 1
do 3
documentation 1
documents 1
does 2
doing 2
draft 1
duties 1
dyscalculia 1
each 1
either 1
else 1
employees 1
encounter 1
end 1
endure 1
even 2
everybody 1
everything 1
expose 1
exposes 1
extent 1
face 1
fails 2
fairly 1
feeder 2
feel 1
feelings 2
feels 4
find 1
finishes 1
first 3
five 1
following 1
follows 1
for 7
friendship 1
from 10
front 1
fubuki 13
gesture 1
go 1
goes 1
golf 1
good 1
goodhearted 1
had 1
hard 1
has 1
having 1
her 27
herself 4
hierarchy 2
hindered 1
his 1
home 1
hostility 1
however 2
hygine 1
i 1
ignore 1
imagine 1
imminent 1
in 11
inconcievable 1
initiative 1
is 15
it 3
january 1
japan 1
japanese 3
job 3
kills 1
knowledge 1
ladder 1
lassassin 1
later 3
let 1
level 1
life 1
like 1
line 1
list 1
looking 1
losing 1
lower 1
made 1
mail 1
main 2
maliciousness 1
manager 7
manages 1
manuallydone 1
manufacturing 1
market 1
me 1
means 1
memorising 1
method 1
might 1
miss 2
mistake 1
mistakes 4
misunderstand 1
months 1
more 2
mori 2
morning 1
move 1
mr 7
myself 1
new 1
next 2
no 1
not 9
note 1
notice 1
novel 2
obtains 1
of 21
offcentered 1
offended 1
offering 1
on 2
one 3
oneyear 2
only 6
or 1
other 2
out 3
overnight 1
overpass 1
own 1
pages 1
personally 1
pile 1
place 1
plans 1
point 4
position 2
present 1
president 1
prestigious 1
private 1
products 1
progress 1
prooves 1
public 1
publishing 1
purpose 1
puzzled 1
real 1
realises 1
reason 1
receives 1
recognise 1
redo 1
reducedfat 1
rejected 1
relationship 1
report 5
reports 1
researches 1
respect 1
responsibility 1
responsible 2
returns 2
reveal 1
reveals 1
ridicule 1
ridiculed 1
rules 1
sabotage 1
same 2
saying 1
scolded 1
scolds 1
seen 2
sees 1
sets 1
severely 2
shameful 2
she 17
should 2
showing 1
shown 1
side 1
signs 1
six 1
skills 1
so 2
some 1
someone 1
spent 1
staff 1
starts 1
stealing 1
sticks 1
still 1
strictly 1
subordination 1
subsequently 1
success 1
suffer 1
suffers 1
taking 1
talk 1
tasks 1
tears 1
tenshi 7
than 1
that 5
the 59
their 2
them 3
then 1
thick 1
thinks 2
third 1
this 2
though 1
thus 1
time 1
to 43
transferring 1
translator 1
trying 1
turns 2
until 1
use 2
useless 2
using 2
utterly 1
vengefulness 1
vicepresident 2
view 3
violating 1
violation 1
wants 1
was 2
weeks 1
western 2
when 3
where 1
which 4
while 4
who 4
why 1
within 1
without 1
woman 1
work 4
would 2
writing 3
years 2
you 2
young 1
yumimoto 2
