6774506
/m/0gn8v5
/m/0gn8v5
Alejo Carpentier
1949
143 1
a 32
ability 2
abject 1
about 1
abruptly 1
accident 1
accompanies 2
adults 1
affirm 1
african 2
after 3
afterwards 1
again 3
alcohol 2
alerts 1
all 2
allow 1
alone 1
also 3
america 2
among 2
an 3
and 65
animal 1
animals 1
ant 1
appeal 1
appear 1
are 8
arm 1
armed 1
army 1
arrives 1
as 15
at 3
attributes 1
await 1
away 1
back 1
based 1
be 3
beauty 1
become 2
becomes 3
been 2
before 1
being 2
bird 2
black 10
blacks 3
body 2
bonaparte 1
book 1
both 1
bouckman 2
brings 1
burned 2
bury 1
business 2
but 6
buy 1
by 14
captivate 1
capture 1
captured 2
card 1
cards 1
care 1
carpentier 1
carpentiers 1
caught 1
causing 1
cave 1
celebration 1
celebrations 1
certain 1
chanting 1
characters 1
chef 1
children 5
christophe 6
city 2
clan 1
coins 1
come 2
commits 1
commonplace 1
complete 2
conchshell 1
conchshells 1
concludes 1
conduct 1
conducts 1
considers 1
construct 1
contact 1
continue 2
continues 1
contrasted 1
control 1
cook 1
cooks 1
cows 1
crowd 1
crowds 1
cuba 1
cure 1
cycle 1
de 12
death 2
deaths 2
decide 1
decides 1
defeated 1
delighted 1
demise 1
denounces 1
departs 1
development 1
develops 1
did 1
died 1
dies 3
discovers 2
disrupt 1
does 1
dragged 1
drink 1
drinking 2
drinks 1
due 2
during 1
elements 1
embellished 1
emergence 1
emerging 1
encounters 1
end 1
endured 1
english 1
enjoys 3
enough 1
ensure 1
entire 2
equal 1
escapes 2
established 1
europe 1
european 1
events 1
eventually 3
explains 1
extermination 1
facts 1
faith 1
false 1
families 1
family 1
fate 1
fathered 1
fear 1
fellow 2
festivities 1
fever 1
figures 1
financial 1
find 1
first 1
fish 1
flees 1
floridor 1
flying 1
folklore 1
for 5
force 1
form 2
former 3
formerly 2
forms 1
formulaic 1
fortress 2
found 2
four 2
france 1
free 2
freedom 1
frenchmen 2
frightened 1
from 1
front 1
fungi 1
furthermore 1
gambles 1
game 1
gather 1
gathering 1
geese 2
general 1
ghosts 1
girls 1
gives 1
gods 1
goes 1
gone 1
goose 2
government 1
great 1
greatness 1
gripped 1
gunpoint 1
haiti 5
hand 1
hands 1
happy 1
has 14
have 5
he 25
hearing 1
henri 5
her 3
herbs 2
hide 1
him 4
his 12
hope 1
houses 1
however 1
howl 1
human 2
hundreds 2
husband 1
imagination 1
imply 1
in 24
inorganic 1
insect 1
insignificant 1
instances 1
instructions 1
internally 1
into 5
irresistible 1
is 25
it 1
items 1
its 1
jamaican 1
joins 1
kill 1
killed 1
killing 1
king 3
kingdom 1
kingdoms 1
lack 1
land 1
landowners 1
lands 1
lashed 1
later 1
latest 1
latin 2
laughing 1
lavish 1
lavishes 1
lazy 1
learn 1
leclerc 3
left 2
lenormand 12
life 1
like 2
livestock 1
lo 1
long 1
longer 1
lord 1
loss 2
lost 1
loving 1
machinery 1
mackandal 13
madame 1
made 3
mademoiselle 1
magic 3
magical 3
magnificent 2
malaria 1
man 3
manages 1
many 3
maravilloso 1
marvellous 2
massages 1
massive 1
master 2
masters 1
mausoleum 1
meeting 1
meets 1
memories 1
men 5
mentions 1
merchants 1
metamorphoses 2
mezy 12
miraculous 1
mistress 1
money 1
months 1
more 1
mortar 1
most 1
mountain 1
mountains 1
much 2
mulattoes 1
mythical 1
natural 2
night 1
no 3
noel 16
normal 1
not 2
novel 2
novels 1
now 3
observe 1
occurrences 1
of 40
often 1
old 1
older 1
on 4
once 2
one 1
ongoing 1
only 1
opposed 1
opposition 1
or 1
order 1
origins 1
other 2
out 1
over 1
overhead 1
overrun 1
own 1
owner 2
pages 1
palace 1
paris 1
pass 1
passage 1
passed 1
past 2
pauline 4
peace 1
pile 1
place 2
planned 1
plantation 9
plantations 3
plants 1
playing 1
poison 2
poorly 1
populated 1
pose 1
possible 1
post 1
poverty 1
power 1
powers 1
pregnant 1
preparations 1
present 1
presiding 1
priests 1
prison 1
prisoners 1
progress 1
prologue 1
qualities 2
quoted 1
rain 1
rapes 1
rates 1
real 1
reality 1
realizes 1
recalls 2
recounted 1
reference 1
regale 1
regime 1
rejected 1
religion 1
remaining 1
remains 2
remarkable 1
reminded 1
research 1
result 3
return 4
returned 1
returns 6
risen 1
rising 1
rivers 1
rochambeau 1
rocks 1
rome 1
room 1
royal 1
rushed 1
said 1
same 1
sanssouci 1
santiago 1
saved 1
saves 1
season 1
second 1
secret 4
seemingly 1
selfreflection 1
sends 1
sexually 1
she 1
ship 1
shortly 1
shoulder 1
sky 1
slave 5
slavery 2
slaves 12
so 1
solimn 3
some 2
sound 1
spare 1
speaks 1
spreads 1
stallion 1
statue 1
statues 1
sticks 1
stories 1
strange 1
strikes 1
subjects 1
succumbing 1
suffering 1
suffers 1
suggests 1
suicide 1
summers 1
superhuman 1
supply 1
supplying 1
surrealist 1
surround 1
surrounding 1
surveyors 1
taken 2
takes 2
tales 3
talk 1
tell 1
tells 1
tempting 1
term 1
testicles 1
text 1
than 1
that 12
the 83
their 5
them 1
then 1
there 4
these 2
they 3
things 1
thinking 1
this 3
threat 1
thrown 1
thunder 1
ti 16
tied 1
time 3
times 1
to 50
told 2
tormented 1
tortured 1
transform 2
treated 1
treats 1
trip 1
trumpets 1
trusted 1
trusts 1
twelve 1
twenty 1
under 2
undergone 1
understands 1
up 1
upon 2
uprising 3
used 1
useless 1
using 2
various 1
very 1
visits 1
voodoo 3
wait 1
wasp 1
way 1
well 3
where 4
which 2
while 1
whiplash 1
white 2
who 3
whose 1
widow 1
wife 1
wiping 1
with 13
within 1
women 4
won 1
word 1
work 2
