2121844
/m/06nnz3
/m/06nnz3
Sterling North
1963
{"/m/017fp": "Biography", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
100s 1
a 16
achieved 1
achievement 1
aching 1
addition 1
adolescent 1
adult 1
after 1
agriculture 1
all 1
almost 1
also 4
although 1
always 1
amazonian 1
among 1
an 3
and 21
angst 1
animal 1
animated 1
annoying 1
are 1
around 1
art 1
as 2
at 1
attention 2
aunt 1
author 3
automobiles 1
baby 1
band 1
basket 1
be 3
because 1
become 2
been 1
begins 1
best 1
better 1
between 3
bicycle 1
bites 1
blending 1
book 8
boy 2
brother 5
building 1
but 3
by 2
cage 1
called 1
can 2
cannot 1
canoe 2
capture 1
care 1
case 1
catches 1
change 1
charmer 1
chronicle 1
chronicles 1
completed 1
concerns 1
confined 1
contest 1
contrasted 1
creating 1
david 1
days 1
death 1
disqualified 1
distant 1
dominates 1
dreamer 1
during 4
early 1
eating 1
elizabeth 1
enjoyed 1
epidemic 1
era 2
europe 1
eventually 2
every 1
expeditions 1
family 1
far 1
father 3
female 1
fields 1
fighting 1
filled 1
first 1
flu 1
follows 1
for 2
forest 1
friend 2
friendship 1
from 3
getting 1
glimpse 1
growth 1
had 2
half 1
has 2
he 3
helped 1
henhouses 1
her 4
herschel 2
him 6
his 17
historian 1
home 1
horsedrawn 1
how 1
humorous 1
i 1
ignored 1
in 16
interested 1
intervention 1
into 2
irritation 1
is 12
issue 1
it 4
jaguar 1
jealous 1
jessica 1
joins 1
justus 1
kept 2
lad 1
lake 1
later 2
learns 1
lillie 1
living 1
long 1
longer 2
longs 1
looked 1
loses 1
loss 2
loving 1
lying 1
magazines 1
male 1
memoir 1
mild 1
military 1
moments 2
mother 3
much 1
nearby 1
nearly 2
neighbors 1
nelson 2
newly 1
night 1
no 2
normalcy 1
north 4
not 1
note 1
observations 1
of 23
older 1
on 2
one 2
original 1
oscar 1
other 1
out 1
page 1
panthers 1
particularly 1
past 1
personal 1
pet 2
pie 1
pioneers 1
pleased 1
poem 1
poet 1
portrayed 1
prize 1
problems 1
prose 1
proud 1
provide 1
raccoon 2
raccoons 1
raids 1
rascal 12
realizes 1
reconnects 1
regardless 1
relationship 1
release 1
reminiscences 1
represented 1
riding 1
ringtailed 1
rise 1
room 1
rubber 1
rug 1
said 1
sell 1
serious 1
serving 1
she 1
sickness 1
side 1
sideshow 1
sister 2
snaps 1
society 1
sometimes 1
spanish 1
stands 1
startled 1
stated 1
sterling 8
still 1
story 1
straightlaced 1
subtitle 1
subtitled 1
such 1
suggests 1
sunderland 1
survives 1
takes 1
that 4
the 42
theme 1
theo 1
they 1
through 2
throughaboyeyes 1
time 1
to 5
too 1
took 1
touches 1
town 1
towns 1
transcendence 1
transitions 1
transportation 1
travels 1
uncle 1
understand 1
unless 1
unlikely 1
untouched 1
up 1
view 1
wanted 1
war 3
was 2
wasnt 1
when 3
which 1
whippoorwills 1
who 4
wild 1
wilderness 2
willard 1
win 1
windows 1
wisconsin 1
with 9
wits 1
wonder 1
woods 1
word 1
world 2
writer 1
yearling 1
yet 2
young 3
