2624382
/m/07sjvc
/m/07sjvc
Frederik Pohl
1986
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 25
ability 2
accepts 1
activist 1
actor 1
advanced 1
affair 1
after 6
against 1
agent 5
along 1
alpha 1
alphawhere 1
also 1
alternate 4
alternateuniverse 1
america 1
an 9
and 12
another 3
any 1
are 4
arrival 1
as 4
assistance 1
at 1
attacks 1
attention 1
back 2
ballistic 3
barriers 1
base 1
be 4
become 1
been 1
before 2
begins 2
being 3
between 5
bid 1
boundaries 1
bowquist 1
boyfriend 1
breakin 1
brings 2
broker 1
brought 1
building 1
by 11
california 1
can 1
capture 1
captured 2
cat 2
cats 1
causing 1
chapters 1
christophe 7
city 1
collective 1
commander 2
confident 1
conman 1
considering 1
contacted 1
counterpart 1
counterparts 1
creating 1
cross 3
cryptic 1
darts 1
dc 2
depicted 1
desert 1
designated 1
desota 15
desotathe 1
detachment 1
detained 1
develop 1
developed 1
different 1
disappears 1
discovered 1
distracting 1
dominic 5
douglas 4
draws 1
earth 1
earths 2
effort 1
embraced 1
energy 1
engaged 1
entire 1
entrap 1
epsilon 3
escalates 1
escape 2
escaped 1
escaping 1
every 1
expectation 1
explains 1
facilities 1
failed 1
famous 1
farm 1
fascist 1
fbi 2
fired 1
first 1
focus 1
for 1
force 1
forced 1
former 1
from 7
gamma 5
give 2
government 2
gradually 1
group 2
growing 2
guard 1
had 1
has 3
have 1
having 1
he 10
help 2
her 3
himselfa 1
his 7
home 1
however 2
identical 1
in 16
increase 1
infinite 1
informed 1
inhabitants 1
interludes 1
interrogated 1
interrogation 2
interviews 1
into 3
invaded 1
invasion 1
investigating 1
involved 1
involving 1
irreparably 1
is 10
it 1
its 1
knockout 1
lab 1
laboratories 1
larger 1
larry 2
later 1
launch 1
leaves 1
led 1
life 1
lives 1
located 1
major 3
man 2
manages 1
many 1
matter 1
may 1
meets 1
mexico 1
militaristic 1
military 4
mission 1
months 1
more 2
mortgage 1
much 1
mystery 1
national 1
new 6
next 1
nicky 4
not 1
novel 1
now 1
number 2
nyla 4
of 14
offering 1
on 3
one 2
only 1
operation 1
opportunity 1
order 1
other 1
out 2
over 1
p 1
palm 1
parallelworld 1
paratime 12
pawn 1
permeable 1
portal 1
president 1
pressure 1
problem 3
proposal 1
propose 1
prove 1
proves 1
reagan 1
recoil 3
relocated 1
rendered 1
research 2
resettled 1
returns 1
revealed 1
reveals 3
ronald 1
same 1
sandia 2
scientist 2
scientists 1
scientistwho 1
secure 1
senator 9
session 1
settle 1
she 1
shifts 1
similar 1
since 1
six 1
sneak 1
so 1
solved 1
something 1
soviet 1
springs 1
standoff 1
states 2
step 1
stop 2
subsequently 1
tau 1
tauthe 1
tense 1
that 9
the 38
their 3
them 3
themselves 1
then 1
there 2
they 4
this 1
through 1
timid 1
to 34
transplantation 1
transplants 1
transported 2
travel 2
travelers 1
travels 1
travelthat 1
trip 1
troops 1
turns 1
unavoidable 1
unconscious 1
unintentionally 1
union 1
united 2
universe 9
universeare 1
universeparatime 1
universes 4
unravel 1
unwelcome 1
use 1
used 1
vanishes 1
version 2
violinist 1
wants 1
warning 1
was 1
washington 2
weaker 1
what 1
where 3
which 2
who 4
will 2
wiped 1
with 7
working 1
world 2
worlds 1
yet 1
york 2
