1371002
/m/04xfvx
/m/04xfvx
Leslie Charteris
1936
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
163 1
a 13
aboard 1
accidentally 1
adventures 1
affection 1
after 1
against 1
alias 1
along 1
also 2
although 1
an 1
anchored 1
and 8
another 1
apologizes 1
appearance 1
are 1
arrive 1
as 3
aside 1
atlantic 1
available 1
awakened 1
away 1
bathyscape 1
before 1
between 1
book 5
books 1
booty 1
both 1
by 5
cases 1
channel 1
charteris 2
coast 1
coldblooded 1
colleagues 1
committing 1
commotion 1
company 1
complicates 1
considerable 1
contain 1
conway 2
corsair 1
cruise 1
dead 1
death 1
deep 1
detective 2
developed 1
disappearance 1
discusses 1
distrust 1
diving 1
down 1
due 1
editions 1
edwards 1
enjoying 1
enlists 1
events 1
expresses 1
falkenberg 1
fay 1
features 1
female 1
few 1
fiction 1
firm 1
first 4
floor 1
for 4
forcing 1
frantically 1
french 1
from 5
girlfriend 1
goes 1
going 1
gold 1
group 2
growing 1
gunfire 1
hampered 1
harbors 1
has 1
he 5
help 1
her 1
herself 1
hesitation 1
his 7
holm 2
hoppy 1
however 2
identifies 1
in 15
include 1
includes 1
indicates 1
introduction 2
investigating 1
involved 1
is 14
islands 1
it 1
jill 1
keep 1
kills 1
kurt 1
lady 1
leads 1
learns 1
led 1
locations 1
longtime 2
loretta 4
love 1
made 1
major 2
makes 1
man 1
manservant 1
map 1
meet 1
men 2
mentioned 1
middle 1
mission 1
modernday 1
modified 1
murder 1
mysterious 1
named 1
nearby 1
new 1
newly 1
night 1
no 1
not 4
novel 2
of 14
officially 1
on 3
once 1
one 2
operation 3
operations 1
orace 3
other 4
out 1
outdated 1
overboard 1
page 1
pain 1
partner 1
partnering 1
patricia 1
peter 2
pirates 2
place 1
pleasure 1
plot 1
possible 1
previous 2
private 1
process 1
publishing 1
pursuing 1
quentin 2
reach 1
recent 1
reference 2
relationship 2
reprint 1
rescuer 1
rescues 1
return 1
returns 1
reunites 1
roger 2
saint 9
salvage 2
sanctioned 1
scour 1
sea 1
serious 1
sets 1
she 4
ship 1
shipwrecks 1
shouting 1
showing 1
simon 2
since 2
some 3
sound 1
source 1
stop 1
subsequent 1
such 1
suggest 1
sunken 1
superior 1
swimming 1
take 1
technology 3
templar 11
than 1
that 1
the 36
these 1
thief 1
this 5
tiger 1
to 9
tracking 1
treasure 1
trelawney 1
uniatz 2
used 1
using 1
version 1
very 1
vessel 1
vogel 5
volumes 1
was 1
well 1
when 3
which 3
while 1
who 6
with 3
woman 3
yacht 1
york 1
young 1
