20945705
/m/05b08fj
/m/05b08fj


{"/m/06c9r": "Role-playing game"}
1 2
102114 1
1044 1
115130 1
131160 1
16 1
160page 1
2 2
3 2
4 1
4563 1
64101 1
a 5
according 1
adventure 6
all 1
also 2
an 1
and 7
appear 1
appendices 1
appendix 2
are 2
as 1
back 1
background 1
be 1
been 1
begins 1
begun 1
book 3
by 1
characters 2
city 2
contains 1
creature 1
creatures 2
deep 1
desperate 1
drow 3
enemy 1
explore 1
exploring 1
features 2
fighting 2
following 1
for 2
fourchapter 1
from 1
goddess 2
guidance 1
has 1
have 3
host 1
in 4
included 1
introduction 2
invaded 1
investigating 1
is 6
it 1
items 1
kiaransalee 1
locations 1
lolth 1
longer 1
maerimydra 2
magic 2
making 1
maps 1
may 1
monsters 3
most 1
no 1
npcs 1
number 1
of 10
on 8
onepage 1
or 1
outline 1
over 1
pages 7
part 5
places 1
player 1
presents 1
priestess 1
priestesses 1
provided 2
raids 2
receiving 1
remained 1
rival 1
ruined 1
scenario 1
several 1
some 1
spells 2
spinning 1
state 1
states 1
statistics 3
steadfast 1
summary 1
surface 1
survivors 1
taken 1
temple 1
that 4
the 26
their 1
these 1
this 1
through 1
throughout 1
to 1
travelling 1
two 1
ultimately 1
underdark 2
undying 1
unrest 1
used 1
various 1
wastes 1
web 1
while 1
will 1
with 1
world 1
