25563271
/m/09rxrft
/m/09rxrft
Jack Dann
1995-12
a 11
about 1
actually 1
also 1
an 1
ancient 1
and 5
approaches 1
are 3
as 5
associated 1
battle 1
be 1
botticelli 1
building 2
can 1
cathedral 2
character 1
characters 1
connected 1
constructed 1
constructs 1
container 1
da 3
dann 2
death 1
deliberately 1
depicts 1
designs 1
detailed 1
device 1
during 2
east 1
employs 1
encounters 1
events 1
experiences 1
florence 1
flying 1
for 1
from 1
functions 1
general 1
he 2
his 5
historical 2
imagined 1
imagining 1
in 7
includes 1
including 1
into 1
inventions 2
inventor 1
is 2
known 1
later 2
leonardo 1
life 2
little 1
machiavelli 1
machine 1
major 1
memories 2
memory 2
mentally 1
middle 1
military 1
mind 1
mnemonics 1
narrative 1
navigated 1
novel 2
number 1
objects 2
of 8
or 1
other 1
painter 1
particular 1
period 1
presents 1
projects 1
recall 1
reencounter 1
refers 1
renaissance 1
residing 1
retrieve 1
reviews 1
service 1
sketches 1
some 1
such 2
surviving 1
syrian 1
system 1
the 11
they 1
this 1
those 1
through 1
title 1
to 3
version 1
vinci 3
wellknown 1
which 7
while 1
whose 1
with 2
year 1
