2323399
/m/073swq
/m/073swq
John Ruskin
1851
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/05hgj": "Novel", "/m/0bxg3": "Fairy tale", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 22
acquires 1
across 2
action 1
acts 1
actually 1
afterward 1
all 2
allows 2
along 1
an 2
and 19
another 1
appears 1
are 1
around 1
as 2
assets 1
at 2
attempt 1
austria 1
away 3
bad 1
be 3
bearded 1
become 3
becomes 1
begs 1
being 1
better 1
black 6
bleak 1
bright 1
brother 3
brothers 3
but 2
buying 1
by 2
cataracts 1
caused 1
challenge 1
child 3
church 1
climaxing 1
climb 1
climbing 1
climbs 1
comes 2
consists 1
constable 1
crucible 1
cruelly 1
dead 1
demeanor 1
denying 1
desire 1
dew 1
disagrees 1
disturbing 1
do 1
does 1
door 1
doubt 1
down 1
dressed 1
drink 3
drops 5
due 1
duel 1
dwarf 1
dwarfish 1
dying 1
each 1
elder 1
emerges 1
encounters 2
esquire 1
eventually 1
ever 1
evil 1
fair 3
fancies 1
fares 1
farming 1
fate 1
feel 1
fertile 1
fertility 1
few 1
final 1
finely 1
first 2
flask 5
floods 1
following 1
foolishness 1
for 3
forced 2
forms 1
from 7
gets 1
gives 1
glacier 1
gluck 12
gold 2
golden 11
goldsmiths 1
good 2
had 3
hans 9
hard 1
has 3
he 8
head 1
heirloom 1
hide 1
high 3
him 2
his 15
holy 7
hurled 1
if 2
in 10
inauspicious 1
individuals 2
influence 1
into 9
is 6
it 7
jail 1
journey 1
keep 1
kindness 1
king 3
knowing 1
known 1
least 1
leaving 1
lifeno 1
likewise 1
lily 1
liquid 1
little 1
lost 1
lush 1
lying 2
made 1
majestic 1
making 1
man 5
melt 1
mistreat 1
more 1
mountain 3
mountains 2
mug 1
must 1
needed 1
needy 2
never 1
new 1
of 25
offers 1
old 3
on 2
once 2
one 1
only 5
or 2
other 3
out 1
overcome 1
overwhelmed 1
own 1
owner 1
owners 1
path 3
peace 1
people 1
person 2
personified 1
pleasant 1
pour 1
power 1
priest 1
prize 1
proposition 1
prostrate 3
provisions 1
puppy 3
red 1
release 1
releases 1
result 1
richness 1
river 14
road 1
rush 1
sand 1
satisfies 1
schwartz 5
secures 1
sense 1
setting 1
shakes 1
show 1
someone 1
source 1
southeastern 1
southwest 1
spurning 1
steals 1
stiria 1
stone 3
stones 1
styria 1
sun 1
surround 1
surroundings 1
take 1
takes 1
tale 1
tell 1
tells 1
than 2
that 9
the 60
their 5
then 4
thereupon 1
these 1
they 1
things 1
third 1
thirst 3
this 5
though 1
three 5
through 2
throw 2
thrown 1
time 1
to 14
trade 1
trail 1
transformed 1
travelers 1
travels 1
treasure 3
turn 3
turning 1
turns 3
two 3
underground 1
unique 1
unselfish 1
up 2
valley 7
wail 1
walking 1
washing 1
water 8
way 1
wealthy 1
were 1
what 1
where 1
which 3
while 1
whirlpool 1
who 7
whole 1
whom 2
wind 2
winds 1
with 4
without 1
would 3
younger 1
