4811627
/m/0cp8hx
/m/0cp8hx
Joe Dever
1991
{"/m/03ff00": "Gamebook", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 1
afoot 1
ago 1
all 1
and 2
area 1
as 2
battle 1
be 1
body 1
but 1
by 1
complete 1
darklords 1
deep 1
defeated 1
destroyed 1
for 1
greatest 1
his 3
if 1
in 2
indeed 1
king 1
learns 1
lone 2
long 1
maakengorge 2
may 1
nature 1
near 1
not 1
now 1
of 5
out 1
plot 1
reader 1
remain 1
resurrect 1
return 1
see 1
set 1
sightings 1
sommerlund 1
spirit 1
spirits 1
strange 1
suggesting 1
that 1
the 9
there 1
threat 1
to 3
trapped 1
troops 1
ulnar 1
uncover 1
vashna 3
victory 1
was 3
well 1
while 1
will 1
within 1
wolf 2
