10743893
/m/02qnvj2
/m/02qnvj2
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 6
absence 1
abundant 1
accomplished 1
accomplishment 1
additional 1
after 1
amaranth 2
among 1
an 1
and 1
another 1
anything 1
as 2
awarded 1
barbarism 1
be 1
become 1
been 1
beyond 1
but 2
by 2
called 1
categories 1
category 1
changes 1
citizens 1
city 1
clarges 1
clone 1
conflict 1
contributions 1
created 1
death 1
dramatic 1
each 1
everyone 1
far 1
feud 1
few 2
first 1
five 1
for 3
fortunate 1
four 1
fugitive 1
future 1
game 1
gavin 1
grayven 1
great 1
had 1
has 2
have 2
he 3
him 1
his 1
horrors 1
however 2
human 1
immortality 1
immortals 1
in 5
intended 1
is 4
it 1
latter 1
lead 1
led 1
lengthening 1
life 3
lifeextension 1
lifespan 1
lives 1
looking 1
made 1
malthusian 1
masquerading 1
measured 1
medical 1
name 1
nearly 1
nearutopia 1
notable 1
obscurity 1
obsessed 1
of 7
offering 1
offers 1
one 1
only 1
order 1
overpopulation 1
own 1
perpetual 1
playing 1
pleasant 1
political 1
prevent 1
prize 1
reinstate 1
relict 1
resources 1
rest 1
result 1
resulted 1
scramble 1
should 1
slope 1
society 1
stratagems 1
stressfree 1
surrounded 1
technology 1
that 2
the 17
those 3
throughout 1
to 6
top 1
true 1
twenty 1
ultimate 1
using 1
warlock 1
was 1
waylock 2
which 1
who 1
will 1
with 2
world 1
years 1
