12644709
/m/02wzbqz
/m/02wzbqz
Tim Lucas

a 4
abbey 1
actual 1
and 5
are 2
as 2
asylum 1
at 1
be 1
before 1
bolded 1
book 3
bram 1
but 1
by 1
came 1
carfax 1
cases 1
changes 1
companion 1
count 1
differentiate 1
discovered 1
doctor 1
dracula 3
edited 1
entries 1
excerpts 1
expanded 1
feasting 1
for 1
form 1
fragments 1
from 2
handkerchief 1
harker 1
he 3
his 2
how 1
identification 1
in 3
instances 1
is 5
it 1
john 1
jonathan 1
l 1
mainly 1
man 1
modified 1
mr 2
mrs 1
nonfiction 1
novel 1
of 6
on 1
only 1
original 1
outside 1
past 1
pawn 1
piece 1
pretense 1
provided 1
rat 1
reads 1
renfield 2
request 1
reveal 1
rewritten 1
rm 1
ruins 1
sessions 1
seward 3
some 2
starts 1
stoker 2
such 1
taken 1
text 1
that 3
the 10
them 1
to 4
tragic 1
under 1
use 1
used 2
were 1
whenever 1
where 1
whose 1
with 2
works 1
