1414736
/m/04_mnx
/m/04_mnx
Steven Erikson
2004-03-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 29
abandoned 1
acquired 1
advice 1
after 1
aftermath 1
again 1
against 3
aid 3
alive 1
allegiance 1
alliance 1
allies 1
along 1
an 5
and 26
andii 1
appeared 1
apprentices 1
are 5
arrives 1
as 4
ascendant 1
assail 1
at 2
attacked 2
away 1
azath 2
back 2
bars 1
battle 4
be 2
beach 1
bearing 2
become 1
beddict 4
begin 2
begins 2
being 1
beings 1
beneath 1
betraying 1
between 2
binadas 1
blood 1
bloodeye 1
body 1
bodyguard 1
book 1
brewing 1
bring 3
brother 2
brothers 2
brys 7
bugg 5
buggmael 1
businesses 1
but 1
by 9
called 1
came 1
cannot 1
capital 1
carries 1
casting 1
causing 1
ceda 2
chalice 1
challenges 1
chemalle 1
child 1
citizens 1
city 4
closure 1
combat 3
come 1
committed 1
confront 1
contact 1
contacted 1
containing 1
contains 1
control 1
controls 1
corpse 2
council 1
course 1
creatures 1
crimson 1
crippled 4
crowned 1
crowns 1
dead 2
dealt 1
death 1
decides 1
delegation 2
despite 1
destroy 1
destroyed 1
destroys 1
dies 2
discuss 1
diskanar 2
doing 1
domicile 2
dormant 1
down 1
drink 1
during 1
dwindling 1
dying 1
eberict 1
economy 1
edur 11
elder 1
else 1
emperor 4
ends 1
enter 1
enters 1
entrusts 1
equivalent 1
errant 1
escape 1
eternal 2
evacuates 1
evening 1
eventually 1
exchange 1
expansionist 1
expected 1
expels 1
falls 1
family 1
fear 2
feather 2
feed 1
feud 1
fierce 1
find 1
finding 1
finds 1
finger 1
flee 1
for 8
forces 2
forge 1
forkrul 1
former 1
fortune 1
frees 1
from 3
fruition 1
fulfillment 1
funeral 1
gerun 1
gives 1
giving 1
god 5
gradually 1
ground 1
guard 1
guardian 2
had 1
harvest 1
has 1
have 1
he 9
helps 1
her 1
him 7
himself 2
his 17
holding 1
holds 1
house 5
however 2
hull 2
ice 1
illegal 1
in 14
incapacitates 1
including 1
increase 1
individuals 1
information 1
inhabits 1
injured 1
insanity 1
into 2
iron 1
is 16
it 6
its 1
jheck 1
kchain 1
keep 1
keeps 1
kill 1
killed 4
killing 1
kills 1
king 7
kingdom 1
knowledge 1
known 1
knows 1
land 1
later 4
leave 1
leaves 1
leaving 1
led 2
lether 5
letheras 1
letherii 9
letting 1
lies 1
life 2
lived 1
lives 1
lose 2
lost 2
lowly 2
machinations 1
made 1
mael 1
maiming 1
make 1
manservant 2
many 3
march 1
massacres 1
massive 1
meantime 1
meanwhile 1
meet 1
meeting 1
merchant 1
mercy 1
midst 1
money 1
more 1
most 1
murdered 1
mysterious 1
mysteriously 1
named 2
nearly 1
newly 1
no 1
nonletherii 1
not 2
novel 1
now 1
number 1
numerous 1
of 25
on 8
once 1
one 3
only 3
other 2
out 1
outmaneuvers 1
outwitted 1
over 2
own 1
palace 1
partners 1
party 1
people 1
personal 1
plans 1
plot 1
poisoned 2
possessions 1
power 2
powerful 1
preparations 1
prepared 1
preparing 1
prince 1
prophecy 1
protect 1
pushed 1
queen 1
quest 1
reach 1
recently 1
recover 1
regains 1
relinquish 1
reputation 2
resistance 1
rest 1
return 2
returned 1
returns 2
revealing 1
rhulad 14
roof 1
routed 1
ruin 4
running 1
sanity 2
saved 1
saves 1
scabandari 2
scheming 1
screaming 1
sea 1
seal 1
seas 1
seer 1
seizes 1
sends 1
sengar 5
sengars 1
service 1
seventh 1
shall 1
she 1
ships 2
shown 1
silchas 3
simultaneously 1
skin 1
slave 3
slaves 1
sleeps 1
so 2
society 1
soldier 1
soletaken 1
some 1
soul 1
souls 1
spar 1
state 1
states 1
stays 1
still 1
stock 1
successfully 1
suicide 1
suspect 1
swears 1
sword 5
swordsmith 1
take 3
takes 2
tehol 7
territory 1
than 1
thanks 1
that 4
the 79
their 2
themselves 1
then 1
there 2
they 3
this 4
though 1
through 1
thus 1
tiste 3
to 29
together 1
treachery 1
treaty 1
tribe 1
tribes 1
trouble 1
trull 5
udinaas 5
undead 1
under 2
unified 1
unknown 1
up 2
upon 2
using 1
valuable 1
war 2
warlock 4
washed 1
way 1
wellearned 1
what 1
when 1
where 3
which 2
while 5
who 3
will 2
wine 1
witch 2
with 11
withal 1
without 2
witnesses 1
word 1
would 1
wyval 2
years 2
