15712109
/m/03nqzs2
/m/03nqzs2
Chris Crutcher

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 3
along 1
and 5
anger 1
beauregard 1
bo 2
bos 1
brewster 1
brother 1
by 1
coach 2
delinquents 1
dispute 1
efforts 1
english 1
enroll 1
father 1
fishing 1
football 1
for 1
forced 1
further 1
group 1
he 1
him 1
his 4
in 3
inspire 1
ironman 1
is 1
jack 1
jordan 1
lives 1
management 1
meets 1
mother 1
motivated 1
much 1
of 2
old 1
place 1
program 1
recent 1
redmond 1
schools 1
shop 1
spokane 1
story 1
support 1
supposed 1
surprise 1
takes 1
teacher 2
teenager 1
the 5
to 2
trains 1
triathlon 1
vigorously 1
washington 1
way 1
where 2
who 1
wise 1
with 3
years 1
younger 1
yukon 1
