17762837
/m/047bkz1
/m/047bkz1
Greg Rucka

a 5
an 1
ancient 1
and 6
arms 1
as 1
back 1
batman 2
battle 1
between 1
breaking 1
but 1
by 1
called 1
care 1
caught 1
choose 1
cliff 1
climax 1
danielle 3
dealers 1
decides 1
dies 1
duel 1
duty 1
eternally 1
female 1
finally 1
finds 1
for 2
fugitive 1
greek 1
has 2
her 4
herself 2
hiketeia 2
hiketeian 1
honorbound 1
in 5
is 3
justice 1
killed 1
leaps 1
learns 1
modern 1
murdered 1
must 1
named 1
nowin 1
oath 1
of 3
on 1
partakes 1
protect 1
released 1
ritual 2
sacred 1
sacrifice 1
searching 1
sexslaversdrug 1
she 4
sister 1
situation 1
suddenly 1
tells 1
that 2
the 8
to 2
top 1
tragedy 1
turning 1
vengeance 1
wellys 1
when 2
who 2
with 1
woman 7
wonder 6
young 1
