1845415
/m/060jf2
/m/060jf2
John le Carré
2003
{"/m/05hgj": "Novel"}
160sera 1
a 15
ability 1
access 1
achieve 1
after 2
again 2
agent 1
alqaeda 1
american 1
amory 1
an 1
anarchist 1
and 12
are 3
as 4
at 2
beaten 1
become 4
becomes 2
been 1
being 1
believe 1
berlin 3
bloc 1
book 1
british 4
briton 1
brutally 1
but 1
by 3
careers 1
chilling 1
collapse 1
combat 1
combating 1
communist 1
connections 1
conspire 1
contribute 1
controller 1
convince 1
council 1
death 1
defected 1
deliver 1
destruction 1
discredited 1
disillusioned 1
double 1
during 1
east 3
efforts 2
ejected 1
ends 1
english 1
enlists 1
espionage 1
european 1
eventual 1
eventually 1
fails 1
for 1
friend 1
from 2
gdr 1
german 2
germany 4
globalization 1
government 1
governments 2
grandiose 1
group 3
groups 1
has 3
having 1
he 2
help 1
him 1
his 3
ideologues 1
in 6
industrial 1
intelligence 1
interviewer 1
is 1
its 1
joins 1
killed 1
language 1
later 1
lifelong 1
manipulate 1
meanwhile 1
meet 1
member 1
mi6 1
military 1
mundy 8
naive 1
named 1
need 1
newspaper 1
not 1
notorious 1
novel 1
novelist 1
obtains 1
of 9
on 2
once 1
out 1
pakistaniborn 1
pawns 1
people 1
police 2
portrayed 1
position 1
prep 1
private 1
proficient 1
protest 1
public 1
publicize 1
question 1
radio 1
recruits 1
reminder 1
reporter 1
results 1
sasha 6
schemes 1
school 1
secret 2
secrets 1
service 2
several 1
simply 1
slander 1
smuggle 1
stasi 1
state 1
states 1
story 2
student 3
support 1
teacher 1
ted 1
tells 1
terror 1
terrorists 1
the 20
theatre 1
their 2
them 2
they 5
thinking 1
this 1
thought 1
time 1
to 16
toldsold 1
totally 2
tries 1
trip 1
truth 1
two 1
underlines 1
united 1
wall 1
war 1
were 1
west 3
what 1
who 1
with 4
without 1
years 1
youth 1
