14322147
/m/03d0hd0
/m/03d0hd0
Christopher Brookmyre
1999
{"/m/0lsxr": "Crime Fiction", "/m/0vgkd": "Black comedy", "/m/06nbt": "Satire", "/m/02xlf": "Fiction"}
a 12
action 1
actually 1
added 1
affair 1
africa 1
aims 1
almost 1
already 1
also 1
an 2
and 8
announcing 1
any 1
are 1
artist 1
as 4
at 2
auchenlea 2
bampot 1
be 1
been 2
better 1
biggest 1
bit 1
black 1
blackmail 1
british 1
but 2
by 1
catherine 1
class 1
classmates 3
coast 1
comedian 1
contracted 1
converted 1
currently 1
dave 1
david 1
dilithium 1
do 1
draper 1
due 1
embarrass 1
end 1
especially 1
evening 2
event 1
except 1
exclassmates 1
experience 1
experiments 1
exterrorists 1
extra 1
famous 1
fed 1
few 1
fifteenthyear 1
finished 1
floating 1
for 4
foreigners 1
fortune 2
forward 1
from 3
gather 1
gavin 6
getting 1
group 1
guest 1
has 1
hassle 1
have 2
haven 1
having 1
he 3
her 2
high 1
him 1
his 8
hit 1
holiday 2
holidays 1
hollywood 1
host 1
husband 1
hutchinson 1
imone 1
in 4
intent 1
interacting 1
is 3
it 1
know 1
labour 1
latest 1
launcher 1
leave 1
life 1
list 1
little 1
looking 1
lording 1
made 2
male 1
market 1
masses 1
matt 1
may 1
meanwhile 1
memorable 1
mercenaries 1
michael 1
minimum 1
mixed 1
moored 1
more 1
mostly 1
much 1
murdoch 1
names 1
no 1
nonentity 1
nonthreatening 1
north 1
not 1
now 3
number 1
of 11
off 1
oil 1
old 2
on 5
one 1
onetime 1
organised 1
orourke 1
out 1
over 1
philandering 1
pinup 1
place 1
plans 1
pr 1
professionals 1
project 1
publicly 1
purveyor 1
recently 1
recruited 1
reduced 1
reformed 1
remains 1
remembers 1
resort 1
reunion 3
rig 2
rocket 1
ruining 1
say 1
school 3
scotland 1
sea 1
she 1
social 1
soldiers 1
some 2
specialist 1
st 1
star 1
suicidal 1
sun 1
take 2
test 1
than 2
that 1
the 16
they 1
theyre 1
those 1
though 1
to 12
tourists 1
troop 1
twins 1
two 1
ulster 1
understatement 1
unique 1
up 2
use 1
vacation 1
variety 1
venture 1
wage 1
want 1
way 1
well 2
what 1
while 1
who 3
wife 1
will 1
with 5
without 1
would 1
