26681503
/m/0bmcg0m
/m/0bmcg0m
Dennis Lehane
1996
a 3
acts 1
again 1
agree 1
all 1
an 1
and 2
angela 1
are 1
around 1
as 1
back 1
be 1
become 1
been 1
before 1
being 1
bloody 1
bodies 1
can 1
cant 1
capture 1
climaxes 1
clues 1
could 1
detectives 2
discover 1
dismemberment 1
disturbingly 1
duo 1
esabrzame 1
ever 2
find 2
for 1
frantically 1
from 1
frtnbres 1
gennaro 1
grow 1
hand 1
has 1
he 2
heartstopping 1
horrifying 1
human 1
in 3
is 1
kenzie 1
killer 3
killing 1
kind 1
la 1
main 1
min 1
more 3
motive 1
mutilation 1
of 5
oscuridad 1
out 1
own 1
paperback 1
past 1
patrick 1
perform 1
piling 1
point 1
prenezmoi 1
prison 1
prominent 1
protect 1
psychiatrist 1
rooted 1
serial 1
series 1
so 1
son 1
soon 1
such 1
suspect 1
svmrker 1
ta 1
terrifying 1
that 2
the 8
their 1
them 1
themselves 1
they 3
to 4
torture 1
try 1
twenty 1
two 1
unlikely 1
up 1
victims 1
what 2
when 1
who 1
work 1
years 1
