739474
/m/03789f
/m/03789f
Eric Flint
2000-02-01
1631 3
2000 1
a 8
about 1
accounting 1
adolphus 1
alien 1
america 2
american 1
americanstyle 1
among 1
and 13
april 1
are 2
arnstadt 1
around 1
as 2
assiti 1
back 1
badenburg 1
barriers 1
battle 1
bavaria 1
boisterous 1
breitenfeld 1
but 1
by 3
center 1
central 1
century 1
chapter 1
cities 1
city 1
civilization 1
class 1
close 1
complication 1
compounding 1
confederated 1
conflict 1
contemporary 1
cope 1
count 1
counterreformation 1
cpoe 1
creation 1
culture 1
daughter 1
dislocation 1
displaced 1
doctor 1
downtimer 1
dress 1
during 2
effect 2
eisenach 1
erfurt 1
establish 1
europe 2
even 1
experience 1
exposed 1
factors 1
falls 1
feminism 1
fictional 2
flooded 1
food 1
for 2
forming 1
franconia 1
free 1
from 5
german 2
germany 1
grantville 7
gustavus 1
halle 1
hemispherical 1
his 1
in 5
including 3
into 1
is 4
issues 1
its 1
itself 1
jena 1
just 1
king 1
land 1
language 1
leads 1
led 1
leipzig 2
liberation 1
local 2
locally 1
locals 1
located 1
maintain 1
manages 1
mannington 1
many 1
may 1
measure 1
measured 1
middle 1
mike 1
miles 1
mine 1
modeled 1
modern 1
more 1
mores 1
moves 1
municipalities 1
must 1
mysterious 1
nascent 1
native 1
near 1
new 1
north 1
not 1
numerous 1
nus 1
occurs 1
of 21
on 1
once 1
one 1
other 1
outside 1
paramedic 1
people 1
plant 1
political 1
politics 1
populations 1
posited 1
power 1
presence 1
president 1
principalities 1
province 1
radius 1
rages 1
raging 1
rapidly 1
real 2
reception 1
reformation 1
refugees 1
remote 1
resources 1
saalfeld 1
section 1
security 1
several 2
sexual 1
shards 1
shock 1
shortage 1
side 1
social 1
society 1
some 1
south 2
space 1
spacetime 2
states 1
stearns 1
struggles 1
sundered 1
surrounding 1
survive 1
technology 1
the 29
theater 1
them 1
thirty 1
this 2
three 1
through 1
throughout 1
thrust 1
thuringer 1
thuringia 1
thuringian 1
tilly 1
time 1
to 11
town 7
transported 1
trying 1
twentyfirst 1
umwa 1
united 2
uptimer 1
virginia 2
wald 1
war 5
wedding 1
weimar 1
well 1
west 2
when 2
while 1
witchcraft 1
with 2
workers 1
years 1
