233084
/m/01hwrd
/m/01hwrd
Irvine Welsh
1993
1 1
20th 1
63 1
64 1
65 1
66 1
67 1
a 83
ability 1
abortion 1
about 7
abuse 2
abusive 1
accent 1
acquires 1
acquiring 1
across 1
action 1
actions 2
acts 1
actually 2
addict 1
addiction 2
affair 1
affirms 1
after 19
afterwards 1
again 2
against 1
ages 1
ah 2
aids 1
aint 1
air 1
aka 2
alcohol 1
alcoholic 1
alison 3
all 5
allnight 1
almost 2
along 1
already 1
alright 1
also 5
amphetamine 1
amputated 1
amsterdam 1
an 21
and 101
andy 1
animal 1
animals 1
announce 1
annoyed 1
another 4
answer 1
antonio 2
any 5
anybody 1
anyone 1
anything 2
anyway 1
apartment 1
apologetically 1
appears 1
approaches 1
are 15
argument 1
army 1
around 2
arrest 1
arrive 1
arrives 2
as 15
ascertains 1
ashamed 1
asked 1
asks 3
asleep 1
assaulted 1
at 25
attacking 1
attacks 1
attempt 2
attempting 1
attempts 3
attends 2
attributed 1
authoritative 1
aw 1
ay 1
baby 3
backpacking 1
bad 1
balcony 1
bang 1
bare 1
be 8
beat 1
beats 3
because 1
becomes 3
been 5
before 5
befriends 1
begbie 15
begging 2
begin 1
begins 1
begs 1
being 5
berate 1
bigoted 1
billy 3
birthday 1
black 1
blood 1
book 1
books 1
both 4
bout 1
boy 16
boyfriend 1
boys 2
brawl 2
breakfast 3
breaks 3
british 2
brother 4
bull 1
busy 1
but 11
buy 1
by 47
called 1
calls 2
cannot 1
cant 2
cards 1
cared 1
cash 1
casual 1
catatonic 2
cause 1
causing 1
celebrations 1
central 2
century 1
chapter 6
characters 1
cheeks 1
child 2
childhood 1
children 1
chloroformed 1
christmas 1
clearly 2
clinical 1
clue 1
cock 2
cold 1
collar 1
come 1
comes 2
comfort 1
coming 1
commencing 1
commendation 1
comments 1
compares 1
comparing 1
compensated 1
completely 2
concludes 2
concluding 1
confesses 1
confronted 1
confronts 1
confused 1
considers 1
consisting 1
construction 2
containing 1
contents 1
continue 1
continues 2
contraction 1
cook 2
cooks 2
cot 1
could 3
couple 1
court 1
courting 1
cousin 1
covers 1
crawling 1
create 2
cries 2
crime 2
criminal 1
crying 1
cunt 2
customers 1
cut 1
cynicism 1
dae 1
damme 2
dating 1
daughter 1
davie 7
dawn 4
day 3
days 1
daze 1
dead 4
deal 3
dealer 2
dealing 1
death 3
deathbed 1
decide 1
decided 1
decides 2
decline 2
deeply 1
defence 1
deid 1
delights 1
demonstrating 1
depravity 1
deprivation 1
despairing 1
despite 1
dianne 2
diarrhea 1
diatribe 1
died 3
dies 1
different 1
digging 1
dilemmas 7
disappeared 1
disappointment 2
disaster 1
discomfort 1
discusses 1
disease 1
distress 1
distressed 1
disused 1
do 1
dode 4
does 3
dog 1
door 1
doubt 1
down 4
downfall 1
drink 2
drinking 2
drug 3
drugs 2
due 2
dugs 1
dumped 1
dying 1
each 2
eagerly 1
ease 1
easy 1
eat 1
eating 1
ecstasy 1
edinburgh 2
either 1
elusive 1
embarrassed 1
embarrassment 1
embrace 1
emotional 1
end 1
ends 4
engage 1
engaged 1
enjoyment 1
entails 1
enthusiasm 1
entire 1
envies 1
even 1
event 2
eventually 1
ex 2
excited 1
exclaims 1
excuse 1
extremely 3
eyes 1
face 2
fact 2
faeces 1
failed 1
fake 1
falklands 1
fall 1
falling 1
family 3
far 2
father 4
feel 1
feeling 2
feels 3
feigns 1
festival 1
few 1
fight 3
film 2
filmthe 1
find 6
finds 3
first 6
flat 2
fly 1
focuses 1
following 4
for 22
forced 1
forgives 1
form 1
forming 1
forrester 1
found 1
foursome 1
fourteen 1
free 3
friend 2
friendly 1
friends 3
friendship 1
frightened 1
from 8
front 1
fuck 2
fuckin 1
fun 1
funeral 3
funny 1
future 1
gail 1
game 1
ganging 1
gathering 1
gav 2
gave 1
gay 1
general 1
get 5
gets 2
getting 1
gi 6
gig 2
girl 1
girlfriend 8
girlfriends 1
girls 3
give 1
given 1
giving 1
glass 3
go 5
goes 7
going 3
good 2
gradual 1
grandmother 1
granton 1
granty 2
great 1
grieving 1
group 1
growing 2
guilt 1
guilty 2
had 9
hallucinations 1
hard 1
harsh 1
has 16
have 10
having 2
he 71
head 1
heart 1
heavy 1
help 2
hence 1
her 18
heroin 16
high 2
him 17
himself 7
hinted 1
his 48
hit 4
hitting 1
hiv 1
hivpositive 1
holding 1
home 1
homophobic 1
horrible 1
hospitalised 1
house 4
how 12
however 4
huge 1
humorously 1
humour 1
hunt 3
hurt 2
hypocrisy 1
hysterically 1
i 1
idea 1
if 2
iggy 2
ignores 1
ill 2
immediately 1
imply 1
implying 1
important 1
in 54
inciting 1
incoherently 1
increasingly 1
indicating 1
indifference 1
induced 1
indulge 1
informed 1
informs 1
initially 2
injected 2
injectionthat 1
injects 1
inner 1
innocence 1
innocent 3
instead 2
inter 1
internal 3
interview 3
into 5
ireland 2
is 43
isnt 1
it 11
italian 1
its 2
ive 1
jack 1
jackie 2
jeanclaude 2
job 3
johnny 3
joints 1
journey 1
