19507748
/m/04mzx10
/m/04mzx10
John Marsden
1993
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 15
activity 1
after 1
against 1
all 1
an 3
and 23
are 5
area 1
as 2
assistance 1
attempt 1
australia 1
back 1
base 1
beachhead 1
been 1
before 1
being 1
between 1
blow 1
break 1
bridge 1
bush 2
by 3
camp 2
camping 1
captive 1
captured 1
centre 1
chase 1
citizens 1
confer 1
confirm 1
continue 1
conversation 1
corrie 3
create 1
dead 1
decide 1
decides 1
demonstration 1
discover 2
discovered 1
dismissing 1
dubbed 1
during 1
dying 1
ellie 7
enemy 1
escape 1
establish 1
eventually 1
exchange 1
explosive 1
falls 1
farmhouses 1
fearing 1
few 1
fi 2
find 2
fiona 1
flying 1
following 1
food 1
for 6
force 1
forms 1
friends 1
from 1
frontend 1
fuel 1
gathering 1
goes 1
group 2
groups 1
guerrilla 1
has 1
have 1
heading 1
held 1
hell 4
her 2
hiding 2
him 1
himself 1
holmes 1
home 1
homer 5
hospital 1
however 1
improvised 1
in 10
into 2
invaders 1
invasion 2
investigate 1
is 5
it 4
kevin 4
killed 1
large 2
lawnmower 1
lee 7
leg 1
lights 1
linton 1
little 1
livestock 1
loader 1
local 1
locals 1
love 1
mackenzie 1
main 2
mathers 1
maxwell 1
medical 1
meeting 1
mentioned 1
met 1
military 1
missing 2
months 1
morning 1
move 1
moves 1
nearby 2
night 1
numbers 1
occupied 1
occupiers 1
occurring 1
of 10
on 1
or 1
order 1
other 1
others 1
out 4
people 1
petrol 1
pets 1
planes 2
point 1
protect 1
protracted 1
raid 2
relationship 2
remote 1
rescue 1
rescued 1
retreat 1
return 1
returned 1
returning 1
rideon 1
robyn 3
romantic 2
safety 1
search 1
searching 1
see 1
sees 1
several 1
she 1
shot 2
should 1
sinkhole 1
situation 1
soldiers 1
started 1
steal 1
street 1
successfully 1
supplies 2
takes 1
takkam 1
tank 1
tanker 1
teens 1
that 5
the 22
their 2
them 1
themselves 1
then 1
there 1
they 11
think 1
this 1
though 1
three 1
through 1
time 1
to 13
toward 1
town 2
turns 1
unidentified 1
up 1
use 2
using 1
vegetated 1
waging 1
war 1
was 1
way 1
week 1
when 1
while 4
wirrawee 5
with 3
without 1
worst 1
yannos 1
