17253525
/m/019qz_
/m/019qz_
Daniel Keyes
1959
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
185 1
32 1
68 2
a 29
ability 1
able 1
about 3
addressed 1
adults 1
affection 1
after 1
afterward 1
age 1
algernon 7
algernongordon 1
alice 5
already 2
also 4
although 1
amuse 1
an 6
and 28
angrily 1
apartment 2
are 3
around 2
artist 1
as 12
astonishing 1
at 13
attains 1
attends 1
attitude 1
attractive 1
aware 1
away 2
back 3
backyard 1
bakery 2
based 1
be 3
bear 1
become 2
becomes 2
beekman 2
been 1
before 2
begins 1
behaving 1
behind 1
boss 1
box 1
boy 1
brief 1
broken 1
brooklyn 1
buried 1
but 5
by 3
calls 1
cannot 2
caring 1
cause 2
causes 1
center 1
change 1
charlie 28
cheese 1
childhood 1
chosen 1
classes 1
cocktail 1
cohabits 1
college 1
conclusions 1
condescending 1
confronts 1
confused 1
consequently 1
contact 1
continuing 1
could 1
coworkers 5
decides 1
declines 1
degenerate 1
dementia 1
despite 1
deteriorate 1
deterioration 1
developing 1
dies 1
disability 1
discouraging 1
discovers 2
does 1
dramatically 1
drinking 1
drunken 1
dying 1
each 1
education 1
effect 1
embarks 1
emotional 2
enhanced 1
entries 1
epigraph 2
equally 1
erratically 1
eventually 1
everyone 1
except 1
expands 1
expense 1
experiment 3
experimental 1
experiments 1
extent 2
factory 2
falls 1
family 3
fanny 1
father 2
fay 2
feel 1
final 1
finally 2
find 1
finds 2
finishes 1
fire 1
fired 1
flaw 2
flowers 2
for 6
former 3
friends 2
from 5
fulfilling 1
fun 1
genius 1
get 1
girden 1
go 2
gordon 2
grave 2
growing 1
had 5
happening 1
has 1
hated 1
have 5
he 22
her 3
him 17
himself 1
his 52
holds 1
home 2
household 1
however 2
human 1
improve 2
improving 1
in 11
include 1
increase 3
increased 2
increases 2
insisted 1
institution 1
institutionalization 1
intellectually 2
intelligence 12
intelligenceenhancing 1
intended 1
intense 1
intimate 1
iq 4
is 14
it 1
janitor 2
job 4
journal 1
just 1
keep 1
keeps 1
kinnian 5
knowledge 1
knows 1
laboratory 1
landlady 1
last 1
later 1
laughing 1
leave 1
liked 1
lillman 1
live 1
longbroken 1
looking 1
loses 2
losing 1
love 1
make 1
man 1
many 3
maturity 1
memories 1
mend 1
menial 2
mental 4
mentally 1
mentors 2
miss 2
money 1
months 1
mother 3
motivation 1
mouse 2
move 1
ms 1
named 1
neighborhood 1
neighboring 1
nemur 1
new 4
next 1
night 2
nobody 1
normal 1
not 3
novel 3
now 3
nowdepressed 1
nowfriendly 1
object 1
observations 1
of 15
off 1
old 1
on 11
once 1
one 2
only 3
opens 1
operation 2
or 1
order 1
original 1
ostensibly 1
other 1
out 2
over 1
overruling 1
own 3
pained 1
parents 1
part 1
party 1
peaks 1
peerless 1
people 2
performance 1
performed 1
perplexed 1
persuade 1
petition 2
pity 1
place 1
plans 1
plato 1
plot 1
points 1
postscript 1
procedure 2
promiscuous 1
promises 1
protagonist 1
prove 1
pupils 1
purely 1
put 2
quits 1
reaches 1
read 1
reading 1
reads 1
realizes 1
recognize 1
recognizes 1
recommendation 1
reconnect 1
regresses 1
regressing 1
relate 1
relationship 3
relationships 2
remembered 1
remembers 1
reports 1
republic 1
requests 1
research 2
researchers 1
resentful 1
retarded 1
returns 1
revert 2
romance 1
scared 2
scares 1
school 1
scientific 1
secured 1
selected 1
self 1
send 1
sent 1
series 1
sexual 1
share 1
she 2
short 1
shortly 1
significantly 1
signs 1
similar 1
sister 1
smarter 1
so 2
some 1
someone 1
sorry 1
spends 1
stand 1
start 1
starts 3
state 3
states 1
statesponsored 1
still 1
stops 1
story 3
strauss 1
subject 1
success 3
successfully 1
such 1
suddenly 1
suffers 1
sufficient 1
surgery 2
surgical 2
surpasses 1
taken 1
talking 1
teacher 2
technique 3
temporary 1
test 1
tested 1
that 10
the 36
their 3
themselves 1
theory 1
they 5
those 1
thought 1
three 1
through 1
to 45
told 1
toward 1
tries 3
triples 1
troubled 1
true 1
try 1
two 1
unable 2
uncle 1
undergo 2
understanding 1
unintelligent 1
until 1
up 1
used 1
vision 1
visited 1
vivacious 1
wanting 1
warren 1
was 2
weak 1
weeks 1
well 1
were 2
what 1
when 6
where 1
which 4
who 8
whom 2
will 1
wish 2
with 13
within 1
without 1
woman 1
works 1
worksite 1
world 1
would 1
write 1
writing 2
writings 1
written 1
yard 1
years 3
york 1
young 1
younger 1
