16617888
/m/03yfb0j
/m/03yfb0j


{"/m/01qxvh": "Romance novel"}
a 8
about 1
accident 1
and 2
armance 4
as 1
attracted 1
barely 1
based 1
brilliant 1
but 2
by 1
century 1
claire 1
clues 1
cole 1
concerns 1
convince 1
de 2
deep 1
describes 1
dies 1
divided 1
do 1
duchess 1
duras 1
eventually 1
experiencing 1
feelings 1
fight 1
forbade 1
greece 1
had 1
has 1
he 1
himself 1
his 1
how 1
illustrates 1
impotent 1
in 1
inner 1
inserted 1
is 4
it 2
kept 1
leaves 1
lovers 1
malivert 1
man 1
married 1
marry 1
misunderstandings 1
moreover 1
nature 1
novel 2
octave 6
of 9
olivier 1
on 1
only 1
openly 1
out 2
pain 1
pair 1
polytechnique 1
publication 1
quietly 1
result 1
rival 1
romantics 1
scabrous 1
secret 1
selfishness 1
series 2
severe 1
shares 1
slanders 1
sorrow 1
stendhal 1
suggest 1
taciturn 1
talking 1
that 2
the 10
theme 1
there 1
to 2
turmoil 1
very 1
when 1
who 2
whose 1
without 1
young 1
zohiloff 1
