6854477
/m/0gsqqt
/m/0gsqqt
Arthur Hailey

a 5
affair 1
aides 1
allies 1
ally 2
also 1
amoral 1
an 3
and 7
are 4
arthur 1
as 7
assistant 1
attempting 1
becomes 1
between 1
brian 1
by 2
canada 4
cawston 2
character 1
characters 1
chief 1
clear 1
closer 1
cold 1
consequences 1
counterpoint 1
course 1
crisis 2
depicted 1
depicts 1
despite 1
deteriorating 1
during 2
erstwhile 1
extramarital 1
faces 1
feelings 1
fictional 1
fight 1
followed 1
forced 1
former 1
forms 1
from 1
gain 1
gets 1
government 1
gravely 1
greatest 1
guilt 1
having 1
he 2
highranking 1
his 4
history 1
howden 8
imminent 1
in 4
increasingly 1
is 4
it 2
its 1
james 1
key 1
lead 1
leader 1
leadership 1
lexington 2
majority 1
make 1
margaret 1
marriage 1
mccallum 1
memories 1
milly 1
mingled 1
minister 1
misstep 1
movements 1
moves 1
national 1
novel 4
of 9
one 1
order 1
over 1
pact 1
parliament 1
party 2
passionless 1
past 1
pleasant 1
plot 1
political 4
politician 1
portrayed 2
position 1
possesses 1
premiership 1
presented 1
prime 1
protect 1
relationship 2
richardson 1
rocky 1
set 1
shown 1
strength 1
struggles 1
stuart 1
sympathetic 1
that 3
the 18
their 2
thermonuclear 1
this 2
threat 1
threatened 1
three 1
through 1
to 5
troubled 2
unnamed 1
unstable 1
war 2
was 1
what 1
wife 1
with 4
work 1
