8157822
/m/026tnx6
/m/026tnx6
Robert Jordan

{"/m/0dz8b": "Sword and sorcery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 11
able 1
absence 1
additional 1
advice 1
advisors 1
aftermath 1
afterwards 1
akiro 6
allies 1
also 1
amonrama 2
an 2
and 16
are 1
as 2
at 4
attack 1
awaken 2
back 2
battle 2
beats 1
behind 1
bombaata 3
bring 1
but 1
by 4
can 2
castle 1
cimmerian 2
closes 1
conan 7
conducts 1
continues 1
corinthian 1
cost 1
creature 1
dagoth 4
dagothworshipping 1
defeat 1
defeats 2
deity 1
destroying 1
destruction 1
dire 1
discovered 1
dreaming 1
duel 1
eating 1
else 1
entails 1
escape 1
everything 1
falls 1
fates 1
female 1
fights 1
finally 1
first 1
forced 1
forehead 2
former 1
fortress 1
from 3
gain 1
gem 2
goal 1
god 1
group 1
hall 1
hand 1
handle 1
having 1
he 3
henchman 1
her 3
hiding 1
his 3
holds 1
hopes 1
horn 4
if 1
in 6
inside 1
interrupt 1
is 9
it 1
item 1
items 1
its 1
jehnna 7
joined 1
journey 1
keepers 1
kidnapped 1
king 1
kingdom 1
lair 1
landslide 2
leader 1
life 1
located 1
lost 1
love 1
magic 1
magical 2
magician 1
malak 2
manape 1
mirrors 2
monster 1
mortally 1
niece 1
of 12
off 1
offers 1
on 5
one 1
only 2
others 2
own 1
palace 1
partner 1
person 1
place 1
placing 1
power 1
prefers 1
princess 1
proceedings 1
procure 1
promises 1
queen 1
quest 1
rescues 1
retrieved 1
retrieves 1
revival 1
rips 1
ritual 1
sacrifice 2
safely 1
saves 1
separated 1
shadazar 1
shadizar 1
she 3
side 1
sleeping 1
soldiers 1
sorcerous 1
starting 1
succeeds 1
survived 1
takes 1
taramis 4
thanks 1
that 4
the 36
their 2
them 1
they 1
thief 1
threatening 1
throne 1
through 1
to 10
together 1
tunnel 1
two 2
ultimate 1
ultimately 1
uncontrollable 1
undertakes 1
valeria 1
warrior 1
way 1
which 2
while 1
who 3
whom 1
whose 1
will 2
win 1
with 2
wizard 4
wounds 1
zula 4
