13182962
/m/02zbk5c
/m/02zbk5c
Elizabeth Bowen

25th 1
a 11
able 1
about 1
access 1
accidentally 1
administered 1
after 2
all 1
already 1
also 1
although 1
america 1
and 10
andrew 1
approaches 1
arble 1
arbles 3
as 4
at 6
attempts 1
attention 1
baby 1
be 1
becoming 1
behind 1
between 1
birth 1
birthday 1
both 3
boy 1
but 1
by 5
cambridge 1
can 1
cannot 1
capacity 1
care 1
cathay 1
catrina 1
child 3
children 1
commit 1
company 1
confining 1
constantine 3
conversation 1
craved 1
dancey 3
danceys 1
days 1
deaf 1
death 1
declaration 1
declares 1
departure 2
dissolution 1
does 2
drowning 1
dumb 1
during 1
effect 1
elsinore 1
enjoy 1
eric 2
escape 1
eva 20
excursion 1
falls 1
fancy 1
farther 1
father 3
feel 1
feels 1
first 3
flees 1
fond 1
for 2
former 1
fortune 1
from 2
get 1
girl 1
give 1
guardian 1
guardianship 2
guest 1
hang 1
has 2
help 1
henry 4
her 18
herself 2
his 1
home 1
house 2
household 1
however 1
husband 1
hymeneal 1
igenesis 1
iieight 1
immediately 1
in 9
infused 1
insofar 1
instantenously 1
is 10
iseult 5
it 2
jeremy 2
joy 1
kennethis 1
kent 1
killing 1
know 1
lady 1
lake 2
larkins 2
later 1
leads 1
left 1
legal 1
lie 1
life 1
louise 1
love 2
lover 1
make 1
makes 1
meets 1
mock 1
neighborhood 1
not 2
novel 2
now 1
of 15
often 1
on 2
one 2
opens 1
ormeau 1
out 1
owned 1
part 3
past 1
paying 1
place 1
places 1
presently 1
purchase 1
quest 1
question 1
rare 1
readers 1
receives 1
reconsiderations 1
relationship 1
rents 1
return 1
roommate 1
same 1
school 3
schools 1
second 2
section 1
sexual 1
she 10
shed 1
shoots 1
since 1
sincere 1
smith 1
spoilt 1
station 2
staying 1
student 1
suicide 1
suspects 1
suspicion 1
take 1
teacher 1
tears 1
tells 1
that 3
the 26
their 1
thinking 1
this 2
time 1
to 14
traumatic 1
travels 1
trout 1
two 1
unexpected 1
university 1
up 1
usa 1
used 1
very 1
victoria 2
way 1
wealth 1
went 1
where 4
which 2
who 3
whom 2
will 1
willy 1
with 6
would 1
years 1
young 1
