658974
/m/02p2sk8
/m/02p2sk8
Patrick O'Brian
1988
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 16
about 2
accompanied 1
accounting 1
actions 1
addict 1
addiction 2
admiralty 1
affair 1
affronts 1
after 4
again 1
against 1
agrees 1
allowing 1
also 1
always 1
america 1
american 1
an 3
and 19
angrily 1
antispanish 1
any 1
arab 1
are 1
as 6
ascending 1
associated 1
assurances 1
at 2
aubrey 5
audience 1
azul 1
back 2
balloon 1
barque 1
be 2
become 1
becomes 1
been 3
before 2
bitter 1
blue 1
boards 1
book 1
borough 1
both 1
brandy 2
british 1
but 2
buy 1
by 5
captains 1
captures 1
carboys 1
cargo 1
caught 1
chance 1
chewing 1
circles 1
civilian 1
coca 1
colonel 1
comes 1
conceal 1
consort 1
cousin 1
cover 1
covert 1
crew 1
cruise 1
cuttingout 1
dead 1
decides 1
declines 1
deeds 1
delivered 1
dental 1
depart 1
despite 1
diamond 1
diana 4
diane 1
diluting 1
discovered 1
dismissal 1
disrespectful 1
ditch 1
dose 1
downfall 1
dreads 1
during 1
edward 1
embarks 1
embarrassing 1
enemies 1
england 1
enough 2
escort 1
extent 1
extra 1
extraordinary 1
fall 1
fanatics 1
father 1
fear 1
fictional 1
finally 1
first 1
five 1
for 4
found 1
free 1
french 1
friends 1
frigate 1
from 10
fugitive 1
gibraltar 1
given 1
grounds 1
group 1
harbour 1
has 5
he 11
health 1
hears 1
her 4
hero 1
herself 1
him 4
himself 1
his 15
home 1
horse 1
horta 1
hotair 1
however 2
impossible 1
in 14
indeed 1
infidelity 1
influence 1
initial 1
injured 1
innocence 1
innocent 1
intelligence 1
is 14
it 2
its 1
itself 1
jack 4
jagiello 2
king 2
known 1
large 1
later 1
laudanum 4
learn 1
leaves 1
ledward 1
legal 1
legalised 1
leopard 1
letter 4
letters 1
list 2
little 1
looted 1
lord 2
lowly 1
lowspirited 1
magnificent 1
make 2
many 1
marque 3
martin 1
martinderey 1
maturin 7
meeting 1
meets 1
melville 1
merlin 1
milport 1
missed 1
mission 1
more 3
mounted 1
name 1
navy 3
never 1
norton 1
not 1
notably 1
now 3
nurses 1
of 21
off 1
offered 2
officers 1
official 1
often 1
old 1
on 5
once 2
one 1
opportunity 1
order 2
out 1
own 2
owner 1
owns 1
padeen 3
painful 1
pardon 1
parliamentary 1
part 3
peter 1
pirates 1
plans 1
poldavy 1
politics 1
popular 1
port 2
possession 1
practice 1
prepares 1
previous 1
private 2
privateer 3
privateering 1
privateers 1
privately 1
prizes 1
protection 1
quicksilver 1
receive 1
reconciled 1
recruited 1
redemption 1
reduced 2
refers 1
rehabilitation 1
rejoining 1
religious 1
replacing 1
respectable 1
restored 2
retrieving 1
returns 1
riga 1
right 1
royal 1
sadly 1
sail 2
sails 1
saint 1
seat 1
secret 2
seek 1
sent 1
serious 1
seriously 1
servant 1
sethian 1
she 2
shelmerston 1
ship 4
since 1
siphoning 1
small 1
smugglers 1
soon 1
soothe 1
south 1
southwest 1
spanish 1
spartan 1
spies 1
stephen 1
still 1
stockholm 1
stockjobbing 1
strongly 1
substitutes 1
success 1
supplies 1
supported 1
supporting 1
supposed 1
surgery 1
surprise 6
sweden 1
take 1
taking 1
tells 1
term 2
that 5
the 41
theft 1
their 2
them 1
then 1
therefore 1
these 1
they 2
this 1
though 2
thus 1
time 1
tincture 1
to 24
together 1
tolerance 1
traitors 1
transport 1
transported 1
treatment 1
tricking 1
trip 1
unaware 1
under 2
unfaithful 1
unknowingly 1
unsurprised 1
use 1
usual 1
valuable 1
vessels 2
via 1
wage 1
war 1
was 2
way 1
wealthy 1
weaned 1
well 2
when 1
which 1
while 1
whilst 1
who 1
wife 1
will 2
with 7
without 1
wounds 1
wray 2
