12746470
/m/02x31ct
/m/02x31ct
Denise Giardina

{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 10
about 1
above 1
acquaintance 1
after 2
again 2
against 4
all 1
almost 1
alone 1
already 1
american 1
an 4
and 37
anger 1
angers 1
another 3
are 5
area 2
army 1
arthur 3
as 8
asks 1
at 2
attend 1
avidly 1
away 4
babies 1
bar 1
be 3
because 3
before 1
beginning 2
begins 2
being 1
beliefs 1
believe 1
believes 3
birth 1
book 2
both 1
breaking 1
british 1
but 2
by 7
called 1
cause 1
certainly 1
child 1
childhood 1
children 1
claims 1
close 1
closes 2
coal 3
cold 1
companies 1
company 3
conceive 1
continue 2
continues 3
county 3
cousin 3
cousins 2
creating 1
current 1
dated 1
daughter 1
dawn 1
deaths 1
deemed 1
deny 1
depicts 1
differently 1
dillon 17
disagree 1
diving 1
divorce 1
do 1
does 1
doing 1
dragged 1
due 1
dying 1
earth 1
echoed 1
end 2
ends 2
enlist 1
enlists 1
eroded 1
escape 1
escapes 1
even 2
eventually 2
everyone 1
fact 1
falls 1
family 2
father 2
fear 1
fears 1
fight 4
fighting 1
finally 1
find 1
first 4
flood 1
for 9
forced 1
forcibly 1
forewarned 1
forget 1
friend 3
from 4
gets 2
gives 1
good 1
graduation 1
grow 1
grows 1
guarantee 1
had 1
has 4
having 2
he 5
head 1
help 1
helps 1
her 16
him 4
his 6
hitler 1
home 2
homeplace 3
how 2
however 2
if 1
illegal 1
illegitimate 1
in 11
instance 1
into 2
introduced 1
is 20
it 4
italian 1
jackie 8
job 2
justice 2
justified 1
kept 1
kids 1
kin 2
lady 1
land 2
leave 1
leaving 2
lee 3
left 1
likely 1
living 1
longer 1
losing 1
love 7
loves 2
luckily 1
main 1
mainly 1
make 1
makes 1
man 1
many 1
marriage 2
marry 3
marrying 1
memories 1
men 1
mine 2
mining 2
more 1
most 1
mother 4
mothers 1
mountain 3
moves 1
mule 1
multiple 1
naked 1
narrate 1
narrated 1
narrators 2
nearly 1
no 1
norms 1
not 1
novel 4
number 1
nurse 1
nurses 1
nursing 2
of 21
offends 1
older 1
on 1
once 1
one 5
only 1
other 1
out 3
owns 1
paranoia 1
partially 1
parts 1
perspective 1
place 2
previously 1
prim 1
prior 2
proper 1
quiet 1
rachel 22
raised 2
really 1
recover 1
relationship 1
remainder 1
remarried 1
rest 1
restrained 1
returns 1
reunited 1
riding 1
river 1
rush 1
safety 1
save 1
scared 1
scene 1
school 2
secluded 1
set 1
several 1
sex 1
she 10
shown 1
shows 1
sisters 1
sleep 1
slowly 1
social 1
society 2
spends 1
standing 1
stay 1
story 4
strong 1
subsequent 1
suffer 1
suspicion 1
swept 1
take 1
takes 1
that 13
the 53
their 10
then 1
there 1
therefore 1
these 1
they 8
thing 1
thirteen 1
this 3
three 1
through 1
throughout 1
times 1
to 25
tom 1
tommie 3
tony 6
towns 1
trace 1
tries 1
trouble 3
try 1
two 1
undesirable 1
unhappy 1
uninhabitable 1
union 1
unquiet 1
until 1
untrue 1
up 3
upon 1
utopia 1
very 1
want 1
wanting 1
wants 1
war 1
was 6
watch 1
watches 1
well 2
were 2
what 1
when 2
where 3
which 1
while 1
who 5
will 2
window 1
wishes 1
with 6
wives 1
words 1
working 1
works 1
worse 1
would 2
written 1
wrong 3
years 1
younger 1
