10943416
/m/02qvqdm
/m/02qvqdm
Hal Clement
1971
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
10 1
21185 1
30 2
40 1
6 1
70 1
a 18
about 3
above 2
actually 1
advantage 1
after 2
again 1
all 2
almost 2
along 1
also 1
ammonia 1
ammoniawater 1
an 4
and 16
another 1
apparently 2
appears 1
are 8
around 4
as 4
at 3
atmosphere 2
audiovideo 1
bad 1
barlennan 6
base 1
being 1
below 1
benj 2
beyond 1
blackmailed 1
both 2
breaks 1
bree 1
but 5
by 3
can 3
cannot 1
capable 1
captain 1
carry 1
catastrophe 1
centipedelike 1
clandestinely 1
close 1
come 1
command 1
commands 1
communication 1
communicators 1
complicated 2
consortium 1
controls 1
conversations 1
created 1
crew 4
cruiser 1
cruisers 3
deadlock 1
deal 2
decades 1
deception 1
defies 1
deserted 1
designed 1
dhrawn 3
dirigibles 1
discovery 1
dismay 1
dondragmer 2
dreams 1
dwarf 1
each 1
earth 1
easy 4
eccentric 1
engineer 1
equally 1
esket 2
events 2
everything 1
exact 1
executing 1
explore 1
explorers 3
extremely 1
failed 1
father 1
fellow 1
finally 1
first 1
flood 1
fluent 1
for 2
formed 1
free 1
freezes 1
freezing 1
friend 1
from 6
frozen 1
function 1
fusion 1
gain 1
generators 1
giving 1
go 1
gravity 3
ground 1
has 4
have 4
having 1
he 3
heat 1
her 1
hers 1
high 1
highgravity 1
him 1
his 2
hoffman 3
hoffmans 1
honestly 1
however 1
humans 5
hung 1
husband 1
hydrogen 1
ib 2
idea 1
if 1
impossible 1
in 9
include 1
including 2
independently 1
inkling 1
institutes 1
into 1
is 14
it 5
its 5
joined 1
kelvins 1
kilometers 1
kwembly 3
lack 1
lake 1
lalande 1
land 1
language 1
large 2
later 1
lead 1
learning 1
leave 1
light 1
like 1
linguist 2
links 1
liquid 1
long 2
low 1
main 1
make 1
mate 1
materials 1
materiel 1
mean 1
means 1
melt 1
men 1
merchant 1
mesklin 4
mesklinite 2
mesklinites 2
meters 2
million 1
mission 4
mixtures 1
months 1
more 2
mostly 1
motives 1
move 3
much 2
natives 2
nature 1
negotiator 1
nonhuman 1
not 1
now 1
nowhere 1
objectives 1
of 28
off 1
on 10
one 3
only 1
orbit 2
other 1
others 1
over 1
oxygen 2
paranoid 1
personal 1
phase 1
place 1
planet 8
planners 1
plotting 1
point 1
pole 1
political 1
power 1
prefer 1
prejudices 1
presence 1
probe 1
produced 1
protective 1
pulleyandrope 1
races 2
ranging 1
real 2
reality 1
really 1
recognizes 1
recruits 2
red 1
relationships 1
repair 1
rescue 1
respectively 1
revolution 1
rocks 1
rotates 1
rotation 1
sailed 1
same 1
satellite 4
satellites 1
save 1
scientific 1
seconds 2
seems 1
selfcontained 1
sent 1
set 2
several 2
ship 2
show 1
signals 1
simple 1
situation 1
size 1
slow 1
slowly 1
some 4
son 1
soon 1
south 1
spacefaring 1
speak 1
star 3
steerable 1
stennish 1
still 1
successful 1
successfully 1
suddenly 1
suffered 1
suits 1
supergiant 1
supervisors 1
supplied 1
surface 4
suspect 1
synchronous 1
systems 1
take 1
takes 1
taking 1
technology 1
temperature 1
temperatures 2
thanks 1
that 4
the 62
their 1
themselves 1
theory 1
there 1
therefore 1
these 2
they 4
this 1
time 1
times 1
timing 1
to 16
tracked 1
transitions 1
trapping 1
travel 1
trickery 1
trouble 1
trucks 1
two 1
unable 1
unclear 1
unfortunately 1
up 2
using 2
vanished 1
vehicle 1
very 1
vessel 1
views 1
warms 1
water 2
what 1
when 1
where 1
which 4
while 1
who 3
wide 1
will 1
wily 1
with 9
within 1
worm 1
would 1
yet 1
