1139745
/m/049r23
/m/049r23
Tom Clancy
2003-08-01
11 1
3 1
30 1
5 1
50 1
7 1
a 19
abandons 1
ability 1
able 1
access 1
accident 1
achievements 1
across 1
afghanistan 1
after 3
against 1
agency 2
agent 1
all 2
allowing 1
although 2
an 4
analysis 1
analyst 1
and 11
anonymous 1
appearance 1
apply 1
are 7
arms 1
as 4
assassinated 1
assassination 1
assassinations 2
associates 1
at 4
attack 4
attacks 1
battle 1
be 2
before 1
between 1
blood 1
border 1
brian 4
brother 2
brothers 6
by 4
campus 5
captured 1
carry 1
carrying 1
caruso 4
causes 1
cells 1
changes 1
chief 1
child 1
chosen 1
cia 1
cold 1
columbia 1
company 1
complete 1
computer 1
contents 1
country 1
cross 1
data 1
death 2
decides 1
decorated 1
defense 1
delivered 1
delivers 1
developed 1
diaphragm 1
died 1
dies 1
direct 1
discovers 1
disguised 2
dispatch 1
dominic 2
down 1
downloads 1
dozens 1
earlier 1
efficiently 1
eliminate 1
eliminating 1
elsewhere 1
enemies 1
entire 1
escape 1
europe 1
even 1
exception 1
expire 1
fairly 1
fbi 1
federal 1
find 1
finding 1
finds 1
first 1
flush 1
for 5
forced 1
former 2
four 1
fourth 1
free 1
from 2
fundamentalists 1
funds 1
gain 1
girl 1
go 1
happen 1
he 1
heart 2
hendley 1
her 1
him 1
himself 1
hired 1
his 7
hits 1
hotel 1
however 2
hypodermic 1
implements 1
in 11
including 1
influenced 1
intelligence 2
interest 1
into 1
investigating 1
is 7
islamic 1
issued 1
it 1
its 1
jack 5
joined 1
jr 2
key 1
kidnapping 1
kill 1
killed 2
killing 1
kills 1
knife 1
later 1
leaders 1
like 1
lineofsight 1
little 1
look 1
major 1
makes 1
malls 2
marine 1
market 1
massacres 1
military 1
milligrams 2
minutes 1
moral 1
morality 1
mossad 1
most 1
murder 2
muscles 1
necessary 1
needle 2
nephew 1
nib 1
no 1
normal 1
nsa 1
observer 1
occur 1
occurs 1
of 12
off 1
offthebooks 1
on 1
one 1
only 1
operations 2
organization 1
originally 1
other 1
out 3
oversight 1
paralysis 1
pen 1
people 1
piques 1
players 1
post11 1
preemptive 1
present 1
president 2
private 1
professor 1
qualms 1
quietly 1
raising 1
random 1
raped 1
ready 1
reconnaissancebyfire 1
recruited 1
rein 1
removing 1
returning 1
rome 1
routinely 1
ryan 3
seconds 1
self 1
serve 1
several 2
sharp 1
shooters 1
shutting 1
similar 1
sites 1
situated 1
son 1
soon 2
spills 1
spoiling 1
sr 1
station 1
stock 1
strategy 1
strike 1
substance 2
suburban 1
succinylcholine 2
suits 1
suspect 2
suspicion 1
switches 1
syringe 1
target 1
targeted 1
targets 1
team 2
terrorist 3
terrorists 1
that 1
the 50
their 2
they 1
this 1
threatens 1
three 1
through 1
thus 2
tip 2
to 12
tourists 1
trades 1
travels 1
tub 1
twisting 1
university 1
unsure 1
us 1
uses 1
usmexico 1
utilizing 1
via 1
victim 1
wanting 1
weapon 1
when 4
while 1
who 1
whose 1
wine 1
with 2
within 1
world 1
