331778
/m/01w_n3
/m/01w_n3
Terry Pratchett
1987
a 9
ability 1
about 1
actually 1
all 1
an 3
and 4
ankhmorpork 2
another 1
apparent 1
apprentice 1
are 1
as 2
ascribed 1
at 1
attempt 1
back 1
based 1
be 2
become 2
becomes 1
billet 3
born 1
both 1
but 3
can 1
causes 1
child 2
completely 1
component 1
creatures 1
decides 1
destined 1
develop 1
die 1
dimensions 2
direct 1
discover 1
discworld 3
dont 1
drum 1
dungeon 2
earlier 1
eight 1
eighth 2
entry 1
esk 4
eskarina 2
female 1
finds 1
first 1
from 1
full 1
gain 2
girl 1
granny 2
greatest 1
grows 1
had 1
has 2
he 1
help 1
her 6
his 4
hole 1
however 2
if 1
in 4
into 2
invents 1
is 8
it 3
kind 1
knowledge 1
knows 1
late 1
local 1
looking 1
magic 3
magical 1
manage 2
many 1
met 1
mistake 1
mythologies 1
name 1
named 1
natural 1
new 2
newborn 1
not 1
notices 1
notion 1
number 1
numbers 1
of 7
on 6
opened 1
other 1
others 1
pass 1
passes 1
place 1
power 1
powerful 1
powers 2
progress 1
properly 1
properties 1
reduces 1
required 1
scared 1
servant 1
seven 1
she 2
signifies 1
simon 3
since 1
smith 1
so 1
something 1
sometimes 1
son 2
soon 1
staff 2
successor 1
talent 1
that 7
the 23
themselves 1
there 1
they 3
this 1
to 18
together 1
too 1
transport 1
travel 1
travels 1
uncontrollable 1
unheard 1
universe 1
university 2
unseen 1
unsuccessful 1
up 1
use 2
wants 1
way 3
weakened 1
weakness 1
weatherwax 2
where 1
while 1
who 1
whole 1
whom 1
will 1
witch 1
with 1
witnesses 1
wizard 5
you 1
