7836696
/m/026fr17
/m/026fr17
André Franquin
1962

a 2
abducted 1
act 1
after 1
again 1
allied 1
ambition 1
and 4
as 1
awoke 1
become 1
been 1
begins 1
behind 1
by 1
champignac 3
comme 1
conclusion 1
conscienceburdened 1
continues 1
count 1
cousin 1
despite 1
domination 1
during 1
evident 1
evil 1
fantasio 2
find 1
for 1
from 2
have 1
increased 1
jrme 1
left 1
nemesis 1
normal 1
of 6
on 1
ordeal 1
pacifying 1
palombia 1
paralyzed 1
passes 1
people 1
policeman 1
population 1
remorse 1
restoring 1
return 1
rogue 1
schemes 1
sedated 1
shadow 1
sinister 1
spirou 1
spree 1
stunning 1
the 9
they 1
time 1
to 3
until 1
went 1
who 1
with 2
without 1
work 1
world 1
z 2
zantafio 1
zorgland 1
zorglman 2
zorglub 3
