3373435
/m/0987ls
/m/0987ls
Maeve Binchy
1998-08-28
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2005 1
a 5
about 1
affair 1
america 2
an 2
and 6
another 2
at 1
away 1
baby 1
be 1
been 1
begins 1
believes 1
book 1
both 2
but 1
by 1
career 1
child 1
children 1
come 1
concentrates 1
danny 3
deal 1
decision 1
delight 1
discover 1
end 1
escape 1
event 1
ever 1
family 1
fatherbut 1
film 1
find 1
for 1
from 5
future 1
getting 1
going 1
great 1
has 2
having 2
he 1
her 4
his 1
home 1
homes 1
houses 1
husband 3
in 1
indeed 1
into 3
ireland 1
irish 1
is 5
it 1
lady 1
leads 1
less 2
life 1
looking 1
lynch 2
made 1
many 1
marriage 1
married 1
met 2
mostly 1
much 1
of 2
off 1
on 1
one 2
out 1
problems 1
ria 4
road 1
running 1
shock 1
shocked 1
solution 1
spending 1
start 1
story 1
switch 1
takes 1
tara 1
that 2
the 8
their 2
themselves 1
theyre 1
time 1
to 6
together 1
trade 1
two 2
unfaithfulness 1
up 1
was 1
while 1
who 2
wife 1
with 3
without 1
woman 2
women 1
years 1
