9081697
/m/027wz_y
/m/027wz_y
Leigh Brackett
1955
a 8
accused 1
actively 1
adjusted 1
adolescent 1
after 1
aftermath 1
against 1
all 1
amended 1
american 1
americans 1
an 1
and 13
any 1
anyone 1
anywhere 1
apparent 1
are 4
as 1
at 1
attempt 1
attend 1
avoided 1
bartorstown 2
bastion 1
become 1
been 3
before 2
being 1
big 1
blame 1
boxes 1
boys 1
brightly 1
buildings 1
by 4
caught 1
cities 2
clothing 1
colter 1
come 2
community 2
constitution 1
cousin 1
daily 1
death 1
despite 1
destroyed 2
destruction 1
determined 1
devastating 1
different 1
disallow 1
disaster 1
dominate 1
easily 1
else 1
enormous 1
esau 3
even 2
existence 1
expressly 1
fabled 1
families 1
far 2
fascinated 1
fathers 2
feeling 1
find 1
for 2
forbidden 3
from 2
gained 1
girl 1
grandmother 1
had 1
harnesses 1
harsher 1
harshly 1
has 1
have 4
her 1
his 3
holds 1
honoured 1
hundred 1
idea 1
in 6
indicated 1
interest 1
involvement 1
is 2
it 1
its 1
known 1
leave 1
len 4
life 1
lit 1
little 2
members 2
mennonite 1
mile 1
modern 1
more 3
moving 1
named 1
new 2
now 1
nuclear 1
number 1
of 11
opposed 2
or 1
past 1
per 1
pictures 1
piper 2
postapocalypse 1
postwar 1
preaching 1
presence 1
previously 1
prewar 1
privileged 1
punished 1
punishment 1
radio 1
reconstruction 1
recover 1
religious 1
residents 1
run 2
search 1
secretly 1
sects 1
seeking 1
sickened 1
simple 1
situation 1
slightly 1
soames 2
society 1
sparks 1
special 1
square 1
states 1
status 1
still 1
stolen 1
stoned 1
stoning 1
stories 1
such 2
technological 1
technologies 1
technology 3
than 3
that 1
the 21
their 6
themselves 1
they 1
those 1
though 2
thousand 1
time 1
to 9
trader 1
two 1
united 1
us 1
use 1
vindicated 1
wagon 1
war 4
was 1
way 1
what 1
where 1
which 2
wishes 1
with 4
