608748
/m/02w2jc
/m/02w2jc
Michael Crichton
1980
800 1
a 17
able 1
abrupt 1
accelerated 1
addition 1
african 2
after 4
afterwards 1
aggressive 1
air 1
aircraft 1
albinism 1
all 2
along 2
also 1
always 1
american 1
amy 3
an 4
ancient 1
and 28
animals 1
another 1
arabic 1
are 8
as 9
at 1
attacked 2
attacks 2
autopsy 1
away 1
bad 2
balloon 1
base 1
battle 1
be 2
become 1
been 1
behavior 1
believed 1
biological 1
border 1
borondoped 1
bred 1
brief 1
bring 1
buries 1
but 1
by 10
camera 1
camp 3
carats 1
cargo 1
certain 1
city 5
civil 1
closer 1
coast 1
come 1
communicate 1
computer 1
concluded 1
confused 1
congo 1
consortium 3
contact 2
corpses 1
crashed 1
crashes 1
creature 1
cut 1
day 1
delays 1
dense 1
deposits 2
devoid 1
diamond 3
diamonds 3
different 1
discover 2
discovered 1
dogs 1
dont 1
due 1
during 1
earth 1
east 1
elliot 5
elliotensis 1
encounter 1
encounters 1
end 1
ensues 1
entire 1
epilogue 1
erts 1
eruption 1
escape 1
essence 1
eventually 1
exhibit 1
expedition 7
explore 1
explosives 1
eyes 1
famous 1
feeding 1
female 1
few 1
field 1
fields 1
fighting 1
find 3
finds 1
flare 1
for 6
forced 1
forests 1
from 1
fur 1
gemstones 1
geological 1
germany 1
go 1
gorilla 3
gorillachimpanzee 1
gorillahuman 1
gorillas 8
gray 1
greatest 1
greatly 1
grey 1
group 1
guard 1
haired 1
has 2
heads 1
height 1
help 1
her 6
here 1
himself 1
holland 1
hot 1
houston 1
hq 1
humans 3
hundred 1
hybrid 1
iib 1
image 1
in 8
inc 1
including 1
inhabitants 1
intel 1
intends 1
into 3
intruders 1
is 11
it 3
japan 1
jungle 2
karen 1
killed 2
killer 2
language 3
large 1
later 1
launched 1
lava 1
leaving 1
led 1
legendary 1
life 1
light 1
like 1
lives 1
look 1
lose 1
lost 2
makes 1
malformed 1
manages 1
many 1
mass 1
massive 1
mercenary 1
messages 1
meters 1
mines 1
modern 1
more 2
much 1
munro 4
murders 1
name 1
named 1
native 1
naturally 1
nearby 1
nearly 1
new 3
night 1
nocturnal 1
nonexistent 1
not 1
novel 1
observed 2
of 21
off 1
offspring 1
on 1
or 2
original 1
out 1
part 1
partially 1
peculiar 1
performing 1
peter 2
piece 1
pigmentation 1
placed 1
plane 1
pointy 1
predators 1
presumably 1
processor 1
proof 1
protect 1
race 2
rain 1
reach 1
refers 2
reintroduced 1
resource 1
responsible 1
rest 1
retrieve 1
revealed 1
revolutionary 1
ridge 1
rival 1
ross 7
rudimentary 1
ruins 2
run 1
ruthless 1
satellite 1
searchers 1
searching 1
semiconductors 1
sent 1
serve 1
services 1
set 1
several 2
she 1
short 1
shows 1
sign 2
skull 1
solar 1
sold 1
southern 1
species 1
standards 1
starts 1
station 1
stop 1
studying 1
surveys 1
survivors 1
taken 1
teaching 1
team 5
technology 1
than 1
that 4
the 50
their 5
them 4
then 2
there 2
they 3
this 1
though 1
three 1
thus 1
time 2
to 21
together 1
trained 1
trainer 1
translate 1
transmitted 1
true 1
truth 1
turning 1
type 1
under 1
unfortunately 1
unknown 1
use 1
useful 1
uses 1
using 1
valuable 2
very 1
victory 1
video 1
volcano 1
wars 1
was 4
way 2
well 2
were 1
when 1
where 1
which 1
while 1
white 1
who 1
wild 1
with 5
worthless 1
yellow 1
yet 1
zanj 1
zinj 6
