3428785
/m/09bzjg
/m/09bzjg
Joe Haldeman
1977-01
a 5
alien 1
all 1
an 1
and 1
anomaly 1
artificial 1
assuming 1
at 1
become 1
black 1
but 1
by 1
captain 2
center 1
conflict 1
contravene 1
crew 2
detects 1
determine 1
dr 1
dubbed 1
enterprise 1
federation 2
find 1
galactic 1
hole 1
in 2
invade 1
is 2
just 1
kirk 2
landing 1
laws 1
leads 1
mccoy 1
miniature 1
mr 1
must 1
not 1
of 4
orbited 1
participate 1
party 1
planet 2
race 1
rogue 1
scientific 1
seems 1
series 1
space 1
spock 1
starship 1
surface 1
survival 1
system 1
that 3
the 7
their 1
themselves 1
they 1
this 1
threatening 1
to 3
trapped 1
trials 1
where 1
which 1
will 1
