7199235
/m/025vww5
/m/025vww5
Andrew Greig
1992
a 3
aboard 1
affair 1
affecting 1
ambition 1
an 1
and 3
artist 1
as 1
author 1
between 1
bisexual 1
book 2
born 1
circle 1
climb 1
climbing 2
daughter 1
described 1
describes 2
divides 1
engineer 1
especially 2
events 1
for 2
framed 1
friend 1
friends 1
game 1
graeme 1
hardmen 1
has 1
heather 1
his 3
hoy 1
in 2
is 3
it 1
jimmy 4
kim 3
lesley 1
main 1
man 1
mcvitie 1
memory 1
men 1
modern 1
narrative 1
north 1
of 4
oil 1
old 1
or 1
orkney 1
partner 1
parts 1
playing 1
prize 1
relationship 1
renilson 1
rig 1
rock 1
romance 1
ruslawska 1
russell 1
scotland 1
scottish 1
sea 1
set 1
shortlisted 1
stormy 1
story 1
temperamental 1
the 9
their 1
time 1
to 1
two 1
various 1
was 1
who 1
with 3
without 1
writer 1
year 1
