16750592
/m/0404yct
/m/0404yct
Victor Appleton
1912
{"/m/03mfnf": "Young adult literature", "/m/08sdrw": "Adventure novel"}
a 7
about 2
accepts 1
accidentally 1
accompanying 1
adventure 1
adventures 1
africa 1
after 3
air 1
airship 1
an 2
and 8
andy 1
are 1
around 1
as 2
at 1
balloon 1
be 1
been 1
before 1
by 2
cabin 1
can 1
captivity 1
catch 1
challenge 1
chase 1
city 6
competing 1
competition 1
confirm 1
damon 1
deep 1
describes 1
down 1
during 1
enclosed 1
end 1
enemies 1
entrance 1
eradicate 1
escape 1
escort 1
explore 1
father 1
filled 1
finally 1
find 1
finding 1
floods 1
foger 4
for 1
fortunes 1
friend 2
from 3
gang 1
get 1
gold 3
had 2
he 1
head 2
heart 1
him 2
hire 1
his 5
hot 1
huge 1
hunters 2
in 7
into 1
is 1
it 2
journey 1
let 1
losing 1
lost 2
make 3
message 2
mexican 1
mexicans 1
mexico 3
missionary 2
mr 1
must 1
mysterious 1
ned 1
newton 1
not 1
of 7
off 4
on 3
one 1
onto 1
order 2
others 1
out 1
parties 1
passengers 1
plot 1
possible 1
preceding 1
previous 1
receives 1
release 1
remodel 1
river 1
salvaged 1
saved 1
sealing 1
set 1
show 1
somewhere 1
steal 1
steamer 2
team 3
the 23
their 2
them 1
themselves 1
they 7
things 1
this 2
time 1
to 8
tom 8
trail 2
tramp 1
treasures 2
trip 1
trying 1
turn 1
two 2
uncover 1
underground 3
unintentionally 1
up 2
volume 1
warned 1
wealth 1
week 1
well 1
when 1
who 2
whom 1
with 5
wonderful 1
worse 1
