24085138
/m/07kjhwl
/m/07kjhwl
Elliot Perlman
1998
a 9
above 1
academic 1
account 1
amanda 6
an 3
and 3
appointment 2
as 4
aspiring 1
bank 1
banned 1
beaten 1
befriended 1
being 1
but 1
card 1
chemical 2
childhood 1
circumstances 1
class 2
clerk 1
consultant 1
cotton 1
council 1
department 1
dollars 1
downsized 2
dripdry 1
eddie 12
employment 1
ends 1
engineer 2
every 1
expansion 1
family 1
fashionable 1
father 4
fellow 1
firstperson 1
food 1
for 5
formal 1
friend 2
from 3
had 1
half 1
harnovey 1
he 3
her 4
his 5
however 1
identifies 1
in 7
indigent 1
is 7
jobless 1
local 1
looks 1
man 1
marriage 1
married 1
meeting 1
meets 2
melbourne 1
middle 1
more 1
much 1
narrator 1
nevertheless 1
next 3
nine 1
notices 1
novel 1
now 2
of 1
on 1
only 1
origins 1
pocket 1
political 1
polycotton 1
protecting 1
queue 2
reason 1
report 1
science 1
set 1
shirt 1
shirts 2
shoppers 1
skips 1
smelter 1
solvent 1
starched 1
still 1
store 1
straitened 1
tanya 2
than 1
the 8
them 1
three 1
time 3
to 2
ultimately 1
unconscious 1
uncontracted 1
undergraduates 1
up 1
was 3
wear 1
where 1
while 2
with 2
wore 2
years 1
