4535346
/m/0c7n5s
/m/0c7n5s
Sarah Micklem
2004-05-25
a 8
accompanies 1
also 1
and 5
another 1
army 1
as 3
becomes 1
believes 1
bondage 1
both 2
but 2
camp 1
closest 1
condemned 1
cousin 1
despised 1
discovers 1
enemies 2
enemy 1
exoverlord 1
fiery 1
firethorn 3
follower 1
for 1
form 1
foundling 1
friend 1
galan 3
get 1
godgiven 1
hair 1
has 2
have 1
heartshattering 1
her 2
highborn 1
his 1
honor 1
however 1
in 1
is 1
joined 1
killedhttpwwwamazoncomdp07432474 1
king 2
kingdom 1
life 1
love 1
lover 2
made 1
makes 1
may 2
mistresseven 1
mistressis 1
mysterious 1
nasty 1
new 1
noblemen 1
not 1
of 3
one 2
only 1
opposition 1
or 1
overcome 1
pava 1
personal 1
powerless 1
powers 1
red 1
rodela 1
ruin 1
sadistic 1
servantor 1
share 1
she 5
sheath 1
sire 4
so 1
soldier 2
strange 2
surely 1
that 2
the 3
their 2
them 1
then 1
thyrse 1
to 2
traded 1
unique 1
until 1
wager 1
war 1
will 1
with 1
