751548
/m/038903
/m/038903
Janny Wurts
1932
a 3
actions 1
after 1
again 2
ah 1
all 1
and 2
are 1
as 2
been 1
boxes 1
by 1
california 1
chan 3
cluesthe 1
come 1
committed 1
does 2
dog 1
elderly 1
ellen 1
entourage 1
exhusband 1
expected 1
far 1
for 1
guests 1
has 1
have 1
he 4
her 2
host 1
house 2
houseguest 1
how 1
husbands 1
invited 1
is 5
keeper 1
key 1
keys 1
landini 1
learns 1
little 2
long 1
look 1
meeting 1
meets 1
murder 2
murdered 1
named 1
not 2
novel 1
of 5
once 2
other 1
role 1
rural 1
scarves 1
servant 1
servants 1
setting 1
singthe 1
solve 1
soprano 1
suspectsthe 1
suspicion 1
the 9
three 1
to 2
too 1
trouble 1
two 2
under 1
understanding 1
understands 1
when 1
where 1
which 1
who 1
worldfamous 1
