12417035
/m/02w4g1j
/m/02w4g1j
Arnold Bennett

{"/m/02n4kr": "Mystery", "/m/0d6gr": "Reference", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
400000 1
a 14
abducted 1
abduction 1
about 1
admits 1
affair 1
after 3
age 1
ahead 1
american 1
among 1
an 4
and 21
appears 1
are 3
aribert 5
arrived 1
arriving 1
as 1
asks 1
at 4
babylon 1
back 1
ball 2
baroness 1
bass 1
be 1
been 1
beer 1
berlin 1
body 2
business 1
businessman 1
but 2
buys 1
by 1
can 3
cant 1
captive 1
chance 1
checks 1
claims 1
clerk 2
come 2
comes 2
confides 1
confront 1
consciousness 1
consume 1
convinced 1
count 1
daughter 2
day 1
decides 1
departs 1
departure 1
dilemma 1
dimmock 4
dinner 1
disappears 2
disguise 1
dismissed 1
dismisses 1
does 1
efficient 1
emperor 2
employed 1
entire 1
equerry 1
eugen 4
evening 1
exclusive 1
expensive 1
facing 1
fact 1
facts 1
faint 1
fakes 1
father 1
find 3
finds 1
first 1
follows 1
for 10
found 1
friend 1
get 1
go 1
goes 1
going 1
gold 1
grand 1
guests 2
guinea 1
had 1
haggled 1
happening 1
has 1
have 1
having 1
he 12
headwaiter 4
helen 1
help 2
her 8
him 7
his 4
hosted 1
hotel 10
house 2
husband 1
if 1
in 8
incognito 1
intensely 1
into 3
is 9
it 4
jackson 1
jacksonjules 1
jules 4
just 1
know 1
knows 2
lady 1
last 2
latter 1
leaving 1
left 1
levi 1
london 2
looked 1
looks 1
loses 1
love 1
main 1
majesty 1
meet 1
message 1
met 1
might 1
millionaire 1
miss 6
money 1
mr 1
mrs 1
multimillionaire 1
name 3
nearer 1
nella 9
nephew 1
never 2
next 1
no 2
not 1
notices 1
observe 1
obviously 1
of 10
old 1
on 1
one 3
or 2
order 1
orders 2
ostend 4
out 7
overpowered 1
owner 1
paris 1
poisoned 1
posen 1
prepare 1
pretty 1
prevent 1
previous 1
prince 7
princes 1
promises 1
protagonists 1
quarrelled 1
racksole 6
real 1
refused 1
reginald 1
regnant 1
remarks 1
requesting 1
revolver 1
room 3
rooms 1
runs 1
same 3
sampson 1
say 1
says 2
scheme 1
second 1
secret 3
see 1
seen 1
sees 1
sent 1
she 9
short 1
signs 1
so 1
some 2
soon 1
special 1
spencer 1
spenser 5
staring 1
state 1
staying 1
steak 2
steenbock 1
story 1
strange 1
substituting 1
suddenly 1
support 1
supremely 1
telegram 1
tells 1
that 10
the 41
their 2
then 2
theodore 1
there 3
they 1
things 2
though 1
threatening 1
throw 1
time 1
to 19
tom 1
too 1
took 1
travelling 1
tries 1
turns 1
uncle 1
under 3
up 1
upset 1
visit 1
wants 1
was 10
what 2
when 2
where 2
whereabouts 2
whether 1
which 1
while 3
who 8
whole 1
whose 1
window 2
winking 1
with 4
would 1
years 1
youthful 1
zerlinski 1
