19793289
/m/04q2s4p
/m/04q2s4p
Eve Bunting
2003-09-22

120 1
17 2
a 4
about 1
accident 1
ago 1
and 6
are 1
arrange 1
as 2
best 1
boy 1
california 1
calls 1
can 1
catherine 5
christmas 1
church 1
claimed 1
death 1
details 1
died 1
europe 1
for 3
friend 2
ghost 3
grandmother 1
grief 1
guilt 1
has 2
he 1
her 6
himself 1
in 2
is 4
kristy 3
life 1
mate 1
narratives 1
noah 2
of 3
old 2
on 1
one 1
parents 1
pasadena 1
past 1
presence 1
searching 1
shocked 1
show 1
soul 1
spending 1
spirit 1
stairs 1
stands 1
story 1
talk 1
talked 1
tell 1
tells 1
that 4
the 9
their 1
thinks 1
time 1
to 3
traveling 1
waiting 1
well 1
when 1
while 1
who 2
with 1
year 2
years 1
