23950863
/m/076wwr3
/m/076wwr3
Suzanne LaFleur
2009
11year 1
a 11
about 2
after 3
all 1
alone 1
amy 2
an 2
and 12
another 1
answering 1
arguing 1
arrived 1
as 1
assignment 1
at 5
aubrey 20
aubreys 5
away 1
back 1
be 2
because 1
become 1
been 1
begins 1
being 1
best 1
better 1
boy 1
bridget 1
but 2
buys 1
by 3
car 1
cheese 1
choice 1
clear 1
come 2
conclusion 1
counselor 1
crackers 1
crash 1
decided 1
decides 4
decision 1
difficult 1
dinner 1
down 1
dream 2
during 1
event 1
eventually 1
excited 1
father 1
few 2
finally 1
finds 1
first 4
fish 1
for 4
freaks 1
friend 1
friends 1
from 2
fun 1
gets 1
girl 1
gives 1
go 2
goes 2
grandma 7
grandmother 1
guidance 1
has 4
he 2
her 15
home 1
house 4
how 1
if 1
in 8
is 4
it 2
its 1
kind 1
kitchen 1
leaves 1
left 1
lie 1
little 1
lives 2
loosens 1
losing 1
lunch 1
mabel 2
main 1
make 1
makes 1
marcus 1
miss 1
missing 2
mom 1
months 1
mother 6
named 1
names 1
nervous 1
new 2
night 1
novel 1
of 4
old 1
on 1
out 2
phone 1
priestly 1
ready 1
realises 1
realizes 1
recover 1
recovers 1
reminds 1
returning 1
runs 1
sammy 1
savannah 2
saying 1
school 2
see 2
she 14
shes 1
shopping 1
shows 1
sister 2
sit 2
someone 1
soon 2
sound 1
spaghettios 1
stairs 1
stay 1
stayed 1
story 1
summer 1
take 1
tells 1
that 4
the 11
their 1
then 2
they 1
thinks 1
thought 1
through 1
times 1
to 15
too 2
trying 1
under 1
up 3
vermont 2
very 1
virginia 1
visit 1
voice 1
waking 1
was 3
wasnt 1
week 1
when 2
which 1
while 3
who 2
will 2
with 5
without 1
would 3
year 1
