7872335
/m/026h13c
/m/026h13c
Ben Elton
2001
a 6
about 1
actor 1
again 1
aid 1
all 1
amateur 1
an 4
and 6
apparently 1
arrest 1
at 1
attract 1
back 1
be 3
been 1
before 1
being 1
box 3
by 3
called 1
catch 1
coleridge 1
conceal 1
confession 1
continue 1
creating 1
dead 1
deputy 1
detective 1
efforts 1
eight 1
envelope 1
events 1
evidence 1
fake 1
faking 1
final 1
footage 1
for 1
forth 1
found 1
go 1
had 3
have 2
he 1
head 1
her 1
house 1
housemates 6
identify 1
identity 1
in 6
increased 1
indian 1
intention 1
interior 1
is 3
jumps 1
killer 5
later 1
leading 1
leaving 1
left 2
live 1
murder 3
murdered 1
murders 1
neck 1
night 2
note 2
novel 2
occurs 1
of 8
officers 1
oldstyle 1
on 2
one 1
or 1
pitchblack 1
police 2
previously 1
producer 3
programme 1
prompt 1
provokes 1
ratings 1
read 1
reality 2
recordings 2
rehearsal 1
remain 1
remaining 3
revealed 1
sauna 1
says 1
sealed 1
set 1
sex 1
she 1
sheet 1
show 5
stabbed 1
strikes 1
sweat 1
sweatbox 1
television 2
ten 1
that 5
the 41
their 1
three 2
time 3
to 12
toilet 1
twice 1
up 2
victim 3
video 4
watching 1
weeks 1
where 1
while 1
who 1
will 2
with 2
wrapped 1
