2534704
/m/07ljv0
/m/07ljv0
Judy Blundell

a 3
able 1
actions 1
adi 2
after 1
against 1
also 1
an 1
and 13
apprentices 1
are 6
as 1
at 2
attempt 1
baby 2
behind 1
benevolent 2
brainwash 1
brainwashing 1
camp 1
captured 1
cause 1
children 3
circle 4
compromising 1
coruscant 1
creates 1
culture 1
customs 1
discuss 1
drastic 1
duo 1
ends 1
eventually 1
fails 1
for 2
forcesensitive 1
fortunately 1
galactic 1
gallia 1
guides 2
her 1
however 1
ideals 1
ideology 1
in 1
incident 1
interfering 1
into 1
introduced 1
is 5
isolationism 1
isolationistcentered 1
jedi 2
jinn 1
kegan 3
keganite 2
kenobi 1
known 1
learning 2
located 1
meanwhile 1
meet 1
mission 1
mistaken 1
must 1
nature 1
obin 1
obiwan 2
of 7
olana 2
on 1
original 1
orphaned 1
ovieve 1
padawans 2
pick 1
planet 2
preached 1
put 1
quigon 2
reality 1
relearning 2
republic 1
rescue 1
revealed 1
same 1
school 3
sense 1
sent 2
several 1
siri 2
situation 1
tachi 1
take 1
taken 1
talk 1
teacher 1
temple 1
the 24
their 3
them 1
they 1
this 5
time 1
to 7
truth 1
try 2
up 2
uproar 1
vtan 1
ways 1
when 1
where 2
which 1
while 1
who 1
with 2
within 1
without 1
young 1
