1599634
/m/05fmcr
/m/05fmcr
Ann Brashares
2001
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
12yearold 1
a 8
about 1
accidentally 1
actively 1
after 2
among 1
and 18
annoyed 1
anyway 1
apart 1
are 3
as 1
asks 1
assaulted 1
assume 1
at 4
attended 1
attends 2
bailey 2
baja 1
be 3
becomes 2
bed 1
been 2
before 2
being 2
best 1
between 1
birth 1
breaks 1
bridget 3
but 1
by 4
california 1
camp 1
carmen 5
carolina 1
championship 1
children 1
circumstances 1
classes 1
close 1
coachcamper 1
coaches 1
comes 1
comfort 1
completely 1
confesses 1
convincing 1
days 1
department 1
deserved 1
despite 2
dies 1
different 2
divorced 1
documentary 3
does 1
during 1
each 1
end 2
engaged 1
eric 2
eventually 2
exercise 1
experiences 1
explain 1
explains 1
express 1
falls 1
family 1
father 4
feeling 1
feelings 1
field 1
finds 1
first 1
fits 1
for 3
four 1
friends 3
from 2
frustrated 1
girl 1
girls 1
goes 2
going 1
grandparents 4
grandson 1
greece 1
grown 2
had 1
handle 1
happened 2
has 2
have 1
he 4
her 22
high 2
him 8
his 3
home 2
hospitalized 1
house 1
if 1
immediately 1
in 10
initially 1
interested 1
introduced 1
is 8
jeans 1
junior 1
kaligaris 1
kostos 4
later 2
learn 1
left 1
lena 7
leukemia 1
lives 1
loses 1
loves 1
lowell 1
magical 1
make 1
manages 1
meets 3
met 1
mexico 1
mother 2
mothers 1
much 1
named 1
new 1
novel 2
of 12
off 1
offlimits 1
old 1
on 1
one 1
order 1
out 2
over 1
own 1
pair 1
pants 2
perfectly 1
planning 1
prenatal 1
pursues 1
reciprocate 1
reconciles 1
refocusing 1
relationships 1
repair 1
results 1
returns 1
rift 1
rollins 1
room 1
running 1
santorini 1
school 2
seduce 1
seen 1
separated 1
series 1
several 1
share 1
she 15
shy 1
since 2
sizes 1
skinnydipping 1
soccer 1
some 1
south 1
spend 1
spends 2
spent 1
store 1
students 1
summer 8
surprised 1
take 1
takes 2
tells 1
that 5
the 22
their 4
them 2
themselves 1
there 3
they 5
though 1
tibby 4
to 20
together 2
too 1
traveling 1
turns 1
two 1
unable 2
under 1
underwear 1
urging 1
virginity 1
visits 1
vreeland 1
walk 1
walking 1
way 1
we 1
wedding 1
what 2
when 1
where 1
which 2
while 3
who 1
whom 2
window 1
with 9
woman 1
work 1
working 1
worship 1
worshiped 1
would 1
year 1
years 1
