4033704
/m/0bdklg
/m/0bdklg
Darren Shan
2006-10-02
a 20
abandoned 1
about 5
absorb 2
according 1
actually 2
affected 1
after 5
aims 1
all 5
allowing 1
along 1
also 1
although 1
among 1
an 2
ancestors 1
ancient 1
and 26
any 1
anyway 1
appeared 1
appears 3
are 3
arrive 4
as 8
asks 2
at 6
attacked 2
back 2
battle 4
be 2
bec 14
because 2
becomes 1
begins 1
betrays 1
blacksmith 1
blood 1
book 1
bound 1
bran 6
breaking 1
brother 2
brude 3
but 3
by 7
can 1
caused 1
cave 1
chessboard 1
chief 1
child 1
children 1
christianity 1
clan 1
cliffs 1
close 2
closing 1
coast 1
comes 1
connla 3
consignment 1
converting 1
could 1
countless 1
cranng 1
creatures 1
curse 1
dark 1
days 1
dead 1
deaths 1
defenceless 1
defend 1
demon 3
demonbesieged 1
demonguarded 1
demonic 1
demons 8
dervish 1
destination 1
destroy 2
destroyed 2
die 3
discovers 1
dismissing 1
down 1
druid 3
drust 10
dry 1
during 2
earlier 1
earth 1
elders 1
emerges 1
encounter 2
engages 1
entire 1
entrance 1
eventually 2
everyone 1
except 1
familiars 1
fast 1
fatally 1
female 1
fiachna 3
find 2
first 1
for 5
force 1
forced 1
from 3
garadexes 1
gash 1
geis 3
gets 1
given 2
go 4
goll 2
got 1
grady 1
group 4
grubbs 2
had 5
happen 1
has 1
have 2
he 10
help 1
her 11
heritage 1
herself 1
hide 1
him 7
his 6
horses 1
how 2
humans 1
if 1
immediately 1
in 9
including 2
incredibly 1
infected 1
instead 1
intended 1
into 3
intrigued 1
ireland 1
is 21
it 6
journey 3
kah 1
kill 1
killed 1
knew 1
knifed 1
knows 1
land 1
largely 1
last 3
leads 1
learn 1
learns 1
let 2
lifethreatening 1
like 1
link 1
lodestones 1
long 2
loose 1
lorcan 2
lord 11
loss 11
luckily 1
lycanthropy 1
magic 5
magical 1
magically 1
manage 1
manages 1
mankind 1
many 1
matter 1
meet 1
mind 1
moment 1
motivated 1
mouth 1
must 1
mystical 1
named 1
near 1
needs 1
night 1
no 1
of 14
old 3
on 4
one 1
open 1
opened 1
opening 1
or 1
orna 2
other 1
others 1
out 1
over 1
overhears 1
part 3
party 1
passed 1
permission 1
phenomenal 1
placed 1
places 1
poison 1
possible 2
power 4
powerful 1
powerlater 1
prefers 1
prevent 1
priestess 1
prolong 1
prone 1
protective 1
protects 1
purpose 1
pushes 1
quickly 1
race 1
rate 1
rath 1
reach 1
realizes 1
remained 1
reminds 1
result 1
revealed 1
revealing 1
reveals 1
ronan 2
ruined 1
run 1
sacrifice 2
sacrificed 2
same 1
screams 1
sea 1
sets 1
several 1
share 1
she 6
side 1
simple 1
slaughter 2
slawter 1
small 2
so 1
some 3
son 1
soon 2
spell 1
sport 1
starts 1
suffering 1
talking 1
teenage 1
tell 1
telling 1
tells 3
terrifying 1
that 12
the 46
their 3
them 6
then 1
they 9
this 4
though 1
through 2
thrown 1
time 1
to 28
transpires 1
trapped 2
tunnel 8
twins 1
two 1
undead 1
under 1
underwater 1
unique 1
unleashed 1
untested 1
untrue 1
up 1
upon 1
use 2
utterly 1
village 1
warrior 2
warriors 1
was 3
waterfall 1
weeks 1
what 1
when 5
where 4
which 4
while 1
who 4
whom 1
why 1
wishing 1
with 8
within 1
without 1
word 1
words 1
working 1
world 2
worried 1
would 2
wouldnt 1
wound 1
