2562800
/m/07n7ck
/m/07n7ck
Carolyn Keene
1933
100th 1
100yearold 1
133 1
136 1
a 10
addition 1
adoptive 1
afternoon 1
against 1
also 1
an 3
and 16
art 1
as 3
asa 3
associate 1
at 1
awaiting 1
be 1
benefactress 1
bess 2
birthday 1
blocked 1
boonton 1
both 1
by 3
candles 1
carol 3
celebrating 1
chumless 1
climax 1
climbing 1
communicate 1
course 1
cousins 1
days 1
death 1
disappearing 1
discover 1
discovered 1
discoveries 1
discovers 1
dropped 1
due 1
edition 1
elderly 1
emma 2
encounter 2
ends 1
fallen 1
families 1
family 3
feud 3
few 1
fight 1
focuses 1
fortune 1
frank 2
friends 1
from 2
george 2
ghostwriter 1
greatniece 1
have 1
her 4
him 1
his 3
identity 1
illustrated 1
illustration 1
in 6
inn 1
interested 1
internal 1
inventions 1
investigating 1
is 7
jemmit 2
karig 1
killed 1
ladder 1
later 2
launches 1
leaves 1
maidwaitress 1
major 1
man 2
misappropriated 1
mistreated 1
money 1
mr 2
must 2
mystery 1
named 1
nancy 10
nearly 1
novels 1
number 1
of 10
old 1
on 1
original 1
orphan 1
others 1
out 1
over 1
owns 1
parentage 1
parents 1
patent 1
pathetic 1
property 1
prove 1
pushed 1
refuse 1
relative 1
relatives 1
resolved 1
restaurant 1
reunited 1
reveals 1
rights 1
roadside 1
roadster 1
second 1
securities 1
she 1
sidney 6
sign 1
solving 1
starts 1
storm 1
story 1
take 1
tea 1
that 2
the 17
there 1
they 1
this 2
three 1
thus 1
to 6
tower 1
tree 1
twisted 1
two 1
unknown 1
upon 1
waiting 1
walter 1
was 2
were 1
when 1
while 3
why 1
wife 1
willingness 1
window 1
wipple 1
with 4
woman 1
young 1
