1367900
/m/04x59p
/m/04x59p
Rob Grant
1996-02-05
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01z4y": "Comedy"}
10 1
15 1
25 1
36 1
61 1
a 31
able 2
about 1
accelerating 1
ace 5
actually 1
adopt 1
after 3
again 1
age 2
agonoid 4
agonoids 3
alive 1
allowing 1
along 1
alternate 1
although 2
american 1
among 1
an 3
and 36
another 3
antidote 2
apocalypse 5
approaches 1
are 10
area 1
armageddon 1
arranged 1
arrive 2
arrives 4
artificial 1
as 8
assist 1
associated 1
at 7
attempt 2
attempts 1
available 1
avoid 1
back 1
backwards 9
badlyrepaired 1
bazookoids 1
be 8
become 1
becomes 1
becoming 1
bee 1
been 5
befall 1
before 2
begin 3
begins 2
being 2
belief 1
better 3
beyond 1
billy 1
bizarre 1
body 2
both 2
boys 5
brave 1
breach 1
break 1
breech 1
brief 1
busy 2
but 11
buy 1
by 6
can 1
cannot 1
cant 1
capable 1
carchase 1
carton 2
cat 6
causing 2
chagrin 1
chamber 1
characteristics 1
characters 1
charismatic 1
chasing 1
chest 1
clash 1
close 2
coming 1
committed 1
complete 2
components 2
compression 1
computer 2
condition 2
connected 1
consciousness 1
contract 1
contrast 1
control 2
converting 1
corpse 1
cost 1
counterparts 1
course 1
cousin 1
craft 1
cramming 1
create 1
crew 18
cross 1
crossing 1
crucial 1
cryptically 1
custody 1
damage 5
damaged 1
death 2
decapitated 1
decides 1
deduces 1
defence 1
deliberately 1
delighted 1
demise 1
depositing 1
despite 1
destroying 2
destruction 1
details 1
died 1
dimensions 2
directly 1
discover 1
discovering 1
discovers 1
dismantled 1
distract 1
divulge 1
djuhn 2
djuhnkeep 2
dock 1
doing 1
down 2
dreams 1
dreamstate 1
due 4
during 2
dwarf 10
earlier 1
earth 4
encounter 1
end 1
energy 1
enough 3
enter 1
entering 1
especially 1
etc 1
even 3
eventually 1
examine 1
explaining 1
failing 1
fails 2
falling 1
far 2
feel 1
female 1
fight 1
fighting 2
finally 1
find 5
finding 1
finish 1
fixed 1
flow 1
follow 1
following 1
food 1
for 14
force 1
forced 1
forest 1
forgives 1
fortunately 1
forwards 2
found 2
freshly 1
from 7
fuel 2
game 2
get 1
giant 1
go 1
gone 1
guilt 1
gun 1
gutted 1
had 2
hands 1
happened 2
harm 2
harrowing 1
has 9
have 2
having 4
he 11
head 1
headed 1
health 1
help 1
heroic 1
hillbilly 2
him 11
himself 2
his 15
hitting 1
holly 4
home 2
horrified 1
hours 1
how 1
however 2
htrae 2
hull 1
human 2
humans 1
if 1
impeccable 1
imprisoned 1
in 14
incident 1
increase 1
infected 1
information 1
informs 1
injured 2
injuries 2
innocent 1
intelligence 1
intelligent 1
into 8
iq 1
