31828851
/m/0gtxvxv
/m/0gtxvxv
Gad Shimron
2009
142 1
15 1
a 2
although 1
an 1
and 7
approaching 1
as 1
attack 1
back 1
before 2
began 1
begins 1
born 1
by 1
chance 1
colony 1
communities 1
days 1
death 1
describes 1
due 1
eventually 1
flee 1
focuses 1
forces 1
from 2
german 2
germany 1
girl 1
heavy 1
how 1
ii 2
in 9
jerusalem 2
jewish 2
landver 1
love 1
managed 1
meet 1
meeting 1
military 1
months 1
nazi 1
nazis 1
novel 1
of 8
on 1
outbreak 1
palestine 4
past 1
place 1
plot 2
preparing 1
present 1
pressure 1
prior 1
raised 1
region 5
return 1
returned 1
separated 1
shvarte 1
social 1
story 2
takes 1
tamar 2
tamarhenrietta 1
templar 2
the 21
then 1
they 1
thickens 1
to 7
two 1
vienna 1
war 4
was 1
were 2
when 1
who 2
with 1
wolfgang 3
world 2
