9952744
/m/02pxyyb
/m/02pxyyb
Michael Connelly
1996
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0lsxr": "Crime Fiction", "/m/0c3351": "Suspense"}
a 28
able 1
about 2
abused 1
accept 1
access 1
actually 1
admits 2
after 1
agent 3
all 1
allan 1
along 1
although 1
an 1
and 18
another 1
arrest 2
as 6
assigned 1
attempts 1
backus 10
beat 1
because 4
become 2
becomes 1
been 4
being 2
believe 1
billed 1
block 1
boasting 1
body 1
book 3
both 2
broken 1
brother 6
brutal 1
bureau 2
buy 1
by 7
call 1
called 1
car 2
case 4
children 1
clear 1
closed 1
college 1
comments 1
committed 2
concludes 1
condoms 1
connection 1
cop 1
could 1
crime 1
dead 1
death 4
deaths 2
denver 1
depression 1
detective 1
detectives 1
did 1
down 1
drugs 1
due 2
during 1
duty 1
edgar 1
eidolon 2
else 1
ends 2
enough 1
errand 1
even 2
events 1
eventually 1
evidence 1
exhusband 1
explains 1
facts 1
fake 1
fall 1
famous 1
fashion 1
father 2
fax 2
fbi 8
finally 1
find 1
finds 2
focuses 1
focusing 1
for 4
forever 1
found 3
from 5
further 1
gladden 6
gordon 1
guy 1
had 7
handling 1
has 2
have 2
he 10
headed 1
held 1
her 3
hill 1
him 8
himself 2
his 15
homicide 2
hostage 1
how 1
however 3
identifies 1
if 1
impossible 1
in 8
including 1
internet 1
into 3
investigating 1
investigation 2
investigations 1
investigative 1
involved 1
is 11
it 2
italy 1
jack 3
judgment 1
kill 1
killed 1
killer 3
killing 1
killings 1
kills 1
knew 1
knocking 1
knowledge 1
known 1
last 1
later 1
lead 1
learns 1
leave 2
left 2
legend 1
life 1
like 1
lines 1
links 1
locationwhere 1
lofton 2
long 1
look 1
lot 1
made 1
main 1
matches 1
mcevoy 15
meanwhile 1
men 1
messages 1
mistakenly 1
molesting 1
mountain 1
much 1
murders 1
my 1
name 1
network 2
news 2
nicknames 1
nonresistance 1
not 2
note 2
of 22
officers 1
officially 1
on 6
one 5
onesentence 2
open 1
operation 1
other 1
out 1
over 1
overshadowed 1
own 1
paper 1
park 1
parking 1
particular 1
particularly 1
pedophile 1
pedophiles 2
period 1
personal 1
personally 1
phone 1
photo 1
pieces 1
poe 3
poet 4
police 2
posting 1
prepares 1
professional 1
proteges 1
publishes 1
question 1
quoting 1
rachel 2
realizes 1
received 1
reference 1
relating 1
relationship 3
reluctant 1
remote 2
reporter 1
resulting 1
retracing 1
robert 1
rocky 1
role 1
room 2
saves 1
sean 3
seemed 1
sent 3
serial 2
set 1
setup 2
she 2
shows 1
similar 1
simply 1
since 2
sodomize 1
someone 1
something 1
son 1
starts 1
stayed 1
student 1
succumbed 1
suicide 5
suspected 2
suspects 1
suspicions 1
suspicious 2
tabloid 1
taint 1
taken 1
takes 3
team 1
teenager 1
tell 1
tells 1
tend 1
that 13
the 50
their 1
them 1
then 5
theresa 1
theyll 1
this 1
thorson 4
though 3
three 1
time 2
to 29
together 1
trade 1
trap 1
trying 1
two 2
uncovered 1
under 1
up 2
use 1
victims 1
walling 11
was 12
when 2
which 2
while 1
who 6
will 1
william 1
window 1
with 7
within 1
works 1
worried 1
write 1
young 1
