374924
/m/020x7_
/m/020x7_
Yasunari Kawabata
1962
a 10
adopted 1
after 1
ages 1
and 8
another 1
anxiety 1
as 3
at 3
baby 1
before 1
between 1
blossoms 1
book 1
boy 1
brings 1
business 1
by 3
celebrated 1
chance 1
cherry 1
chieko 10
city 1
common 1
completed 1
confuse 1
constructed 1
daughter 1
death 1
discrepancy 1
during 1
encounter 1
examines 1
festival 5
festivals 1
floats 1
fond 1
forests 1
foundling 2
gion 3
gulf 1
had 1
has 1
her 1
hideo 2
his 2
home 1
however 1
identical 1
important 1
in 10
incorporates 1
interested 1
is 11
its 1
july 1
kawabata 1
kimono 1
kitayama 1
known 1
kyoto 3
last 1
later 1
learns 1
literature 1
looks 1
memories 1
middle 1
mountain 1
much 1
naeko 3
neighborhoods 1
night 1
north 1
novel 1
now 1
occurs 1
of 14
on 1
one 3
operate 1
or 1
parade 2
part 2
participating 1
plot 1
potential 1
recognition 1
remained 1
revealed 1
sada 1
school 1
set 1
sexes 1
she 3
shige 3
shinichi 1
shrine 2
since 1
sister 1
snatched 1
soon 1
stolen 1
story 2
suitor 1
takes 1
takichiro 2
that 2
the 20
themes 1
there 2
these 1
they 1
this 1
to 2
told 1
traditional 1
twenty 1
twin 2
under 1
various 2
view 1
village 1
was 4
weaver 1
when 1
where 1
whether 1
which 1
who 4
wholesale 1
working 1
yasaka 1
