5390022
/m/0djnpz
/m/0djnpz
Isobelle Carmody
1988-05
a 16
abilities 3
ability 1
accidentally 1
after 2
ago 1
alexi 4
alone 1
also 2
an 3
and 20
anonymous 1
another 1
are 6
ariel 5
arrives 1
as 4
asked 1
asks 1
assistance 1
assistant 1
at 5
attempt 1
be 4
before 1
beforetime 3
begin 1
begins 1
believed 1
between 1
beyond 1
blizzard 3
books 1
boundaries 1
breaks 1
brother 1
build 1
bursts 1
but 9
by 6
cameo 1
can 1
captors 1
captured 1
carved 1
cat 1
caused 1
cave 1
cavern 1
coldly 1
combining 1
come 1
comforts 1
coming 1
compass 1
conversation 1
convincing 1
cooks 1
councilmen 1
cracks 1
dameon 1
dark 1
daughter 1
death 1
decide 1
decides 1
deduce 1
defective 1
delivering 1
despair 1
despatched 1
destiny 1
destroy 1
determine 1
diaries 1
died 1
discover 1
discovered 1
discovers 1
distraught 1
do 1
doctor 1
doctors 2
dominick 1
doors 1
drains 1
dying 1
earlier 1
earnest 1
elspeth 13
elspeths 2
emptyhanded 1
encounter 1
endure 1
enter 1
enters 1
escape 4
everyday 1
experiments 1
extent 1
falls 1
family 1
far 1
farm 2
farmhouse 1
farms 1
farseeking 1
favoured 1
feared 1
fearful 1
feel 1
fetch 1
few 1
find 3
finding 1
finds 2
first 1
flames 1
flees 1
foot 1
for 6
forbidden 1
forced 1
founder 1
freed 1
friend 1
friends 1
from 6
front 1
gets 1
gives 1
gone 1
great 2
group 1
groups 1
guards 1
guide 1
had 2
has 2
hatred 1
have 1
he 2
head 1
heir 1
help 2
her 31
herders 1
him 3
his 3
hold 1
immediate 1
imprisoned 1
in 13
informs 1
inside 1
institution 1
interest 1
interview 1
into 5
is 14
it 3
jes 1
keeper 2
kill 2
killed 2
kind 1
kindraide 1
kitchen 1
know 1
known 1
later 3
learns 2
leaves 1
legal 1
location 2
locks 1
long 1
look 1
lost 1
machine 2
madam 1
makes 2
map 2
maps 1
marissa 2
marissas 1
maruman 2
master 1
matthew 2
meet 1
mental 3
mentally 1
mind 4
misfit 3
misfits 3
missing 1
mountains 1
mourning 1
must 1
network 2
new 1
next 2
night 2
nightfall 1
nightmares 1
no 1
not 3
now 1
obernewtyn 12
occurring 1
of 14
offers 1
office 2
on 3
once 1
one 1
only 1
out 1
overhearing 1
overhears 1
overheats 1
overseer 1
part 1
particular 1
plagued 1
plagues 1
plans 2
point 1
power 1
powers 1
premonitions 1
prewarned 1
prophecies 1
quest 1
questioning 1
range 1
realises 1
reassigned 1
rebel 2
recognises 1
refuge 1
rescuer 1
resistance 1
retrieve 1
return 1
returns 1
reveal 1
reveals 5
right 1
rosamunde 1
rush 1
rushton 7
rushtons 2
safely 1
searching 3
second 1
secret 3
secretly 1
seeker 1
sent 1
she 17
simpleton 1
sneaks 1
someone 1
something 2
soon 3
special 1
spent 1
still 1
stops 1
strange 1
strength 2
suddenly 1
table 1
take 1
taking 1
tasks 1
tea 1
telepathic 1
tells 1
test 1
that 9
the 42
their 3
them 4
there 3
they 5
thinking 1
this 3
though 1
thoughts 1
threats 1
through 1
ties 1
time 1
to 35
tortuous 1
torture 1
traps 1
true 1
two 1
unconscious 1
underneath 1
until 1
use 1
uses 1
vega 5
visiting 1
voice 1
was 2
way 1
weapons 3
weeks 1
well 1
were 1
what 2
when 3
where 1
which 1
while 1
white 2
who 3
why 1
wife 1
will 2
with 5
withstanding 1
work 1
working 1
wrote 1
yet 1
zebrakhan 1
zebrakhen 3
