5140212
/m/0d4mdx
/m/0d4mdx
Ian Irvine
2004-08
100 3
21stcentury 1
a 3
across 1
age 1
agreed 1
all 1
and 2
antirefugee 1
any 1
are 3
armbands 2
as 1
attempt 1
avert 1
awful 1
before 1
behind 1
being 1
billion 1
blizzardstruck 1
bring 1
but 2
by 3
can 1
chaos 1
civilisation 1
climate 2
collapsing 1
come 1
coming 1
confront 1
control 1
crushed 1
days 3
democracies 1
desperate 1
down 1
economy 1
embark 1
face 1
flooded 1
for 1
forced 1
from 1
gamble 1
ghastly 1
global 1
going 1
got 1
great 1
guntoting 1
half 1
hardey 2
have 2
highlands 1
hundreds 1
hunted 1
ice 1
in 3
into 1
irith 4
is 7
isnt 1
it 2
life 2
london 1
lottery 1
militias 1
millions 1
monumental 1
most 1
nightmare 1
north 1
of 5
on 1
out 3
people 1
pet 1
pouring 1
powers 1
president 2
project 1
refugees 1
rising 1
ruin 1
save 2
scheme 1
scientist 1
scottish 1
sea 1
searching 1
seas 1
secret 1
she 1
states 1
struggles 1
sure 1
terrorized 1
that 1
the 19
then 1
there 1
theyve 1
time 1
to 9
tormented 1
truth 1
trying 1
uncover 1
united 1
up 1
us 1
west 1
wild 1
will 1
wipe 1
woman 1
world 3
worse 1
worst 1
wrong 1
yellow 2
